timestamp,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,_padding0[0],_padding0[1],_padding0[2],_padding0[3],_padding0[4],heartbeats[0].timestamp,heartbeats[0].system_id,heartbeats[0].component_id,heartbeats[0].type,heartbeats[0].state,heartbeats[0]._padding0[0],heartbeats[0]._padding0[1],heartbeats[0]._padding0[2],heartbeats[0]._padding0[3],heartbeats[1].timestamp,heartbeats[1].system_id,heartbeats[1].component_id,heartbeats[1].type,heartbeats[1].state,heartbeats[1]._padding0[0],heartbeats[1]._padding0[1],heartbeats[1]._padding0[2],heartbeats[1]._padding0[3],heartbeats[2].timestamp,heartbeats[2].system_id,heartbeats[2].component_id,heartbeats[2].type,heartbeats[2].state,heartbeats[2]._padding0[0],heartbeats[2]._padding0[1],heartbeats[2]._padding0[2],heartbeats[2]._padding0[3],heartbeats[3].timestamp,heartbeats[3].system_id,heartbeats[3].component_id,heartbeats[3].type,heartbeats[3].state,heartbeats[3]._padding0[0],heartbeats[3]._padding0[1],heartbeats[3]._padding0[2],heartbeats[3]._padding0[3]
332739194,1200.0,0.62888896,0.06732826,1.1039854,0.0,0,0,1,1,1,1,38,0,0,0,0,0,332737757,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333655117,1200.0,0.62888896,0.12923132,1.4205505,0.0,0,0,1,1,1,1,38,0,0,0,0,0,333647758,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334657143,1200.0,0.62888896,0.041909974,1.1914407,0.0,0,0,1,1,1,1,38,0,0,0,0,0,334651839,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335657189,1200.0,0.62888896,0.04159025,1.1803709,0.0,0,0,1,1,1,1,38,0,0,0,0,0,334651839,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335727201,1200.0,0.62888896,0.04159025,1.1803709,0.0,0,0,1,1,1,1,38,0,0,0,0,0,335720843,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336677116,1200.0,0.62888896,0.041999117,1.2019746,0.0,0,0,1,1,1,1,38,0,0,0,0,0,336669760,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337657123,1200.0,0.62888896,0.041997984,1.2379405,0.0,0,0,1,1,1,1,38,0,0,0,0,0,337655756,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338707162,1200.0,0.62888896,0.04158704,1.0891843,0.0,0,0,1,1,1,1,38,0,0,0,0,0,338705766,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339737203,1200.0,0.62888896,0.041584115,1.0049495,0.0,0,0,1,1,1,1,38,0,0,0,0,0,339734763,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340798110,1200.0,0.62888896,0.041958038,1.1818181,0.0,0,0,1,1,1,1,38,0,0,0,0,0,340793456,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
