timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
332833269,0.0074109803,0.0038072006,0.0040354757,0
333033241,0.0072627813,0.003931011,0.0040607923,0
334043099,0.0072627813,0.003931011,0.0040607923,1
334243080,0.0072627813,0.003931011,0.0040607923,1
334443043,0.0072627813,0.003931011,0.0040607923,1
334633021,0.0072627813,0.003931011,0.0040607923,1
549433459,0.0072627813,0.003931011,0.0040607923,1
549643423,0.0072627813,0.003931011,0.0040607923,1
549843351,0.0072627813,0.003931011,0.0040607923,1
550033300,0.0072627813,0.003931011,0.0040607923,1
550233247,0.0072627813,0.003931011,0.0040607923,1
550433194,0.0072627813,0.003931011,0.0040607923,1
550633141,0.0072627813,0.003931011,0.0040607923,1
550833088,0.0072627813,0.003931011,0.0040607923,1
553642338,0.0072627813,0.003931011,0.0040607923,1
553832289,0.0072627813,0.003931011,0.0040607923,1
554032234,0.0072627813,0.003931011,0.0040607923,1
554242182,0.0072627813,0.003931011,0.0040607923,1
554442126,0.0072627813,0.003931011,0.0040607923,1
554642071,0.009219094,0.023200182,0.007417212,0
554842022,0.011079423,0.000475334,0.013975523,0
555041967,0.018620623,0.04045483,0.02040359,0
555241911,0.022257045,0.055266272,0.025787747,0
