timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
332948888,332948,1,1,1,0,0,0,0,0
333962295,332948,1,1,1,0,0,0,0,0
334464392,332948,1,1,1,0,0,0,0,0
334975080,332948,1,1,1,0,0,0,0,0
335486083,332948,1,1,1,0,0,0,0,0
335987084,332948,1,1,1,0,0,0,0,0
336497104,332948,1,1,1,0,0,0,0,0
336564589,332948,1,1,1,0,0,0,0,0
337075118,332948,1,1,1,0,0,0,0,0
337585145,332948,1,1,1,0,0,0,0,0
338095469,332948,1,1,1,0,0,0,0,0
338605096,332948,1,1,1,0,0,0,0,0
339105213,332948,1,1,1,0,0,0,0,0
339611124,332948,1,1,1,0,0,0,0,0
340118082,332948,1,1,1,0,0,0,0,0
340625084,332948,1,1,1,0,0,0,0,0
341132080,332948,1,1,1,0,0,0,0,0
341638145,332948,1,1,1,0,0,0,0,0
342145081,332948,1,1,1,0,0,0,0,0
342654240,332948,1,1,1,0,0,0,0,0
343164115,332948,1,1,1,0,0,0,0,0
343675081,332948,1,1,1,0,0,0,0,0
344175086,332948,1,1,1,0,0,0,0,0
344684113,332948,1,1,1,0,0,0,0,0
345190107,332948,1,1,1,0,0,0,0,0
345697175,332948,1,1,1,0,0,0,0,0
346204215,332948,1,1,1,0,0,0,0,0
346711082,332948,1,1,1,0,0,0,0,0
347217084,332948,1,1,1,0,0,0,0,0
347723213,332948,1,1,1,0,0,0,0,0
348229248,332948,1,1,1,0,0,0,0,0
348736136,332948,1,1,1,0,0,0,0,0
349243183,332948,1,1,1,0,0,0,0,0
349743481,332948,1,1,1,0,0,0,0,0
350254081,332948,1,1,1,0,0,0,0,0
350763259,332948,1,1,1,0,0,0,0,0
351272015,332948,1,1,1,0,0,0,0,0
351783394,332948,1,1,1,0,0,0,0,0
352290210,332948,1,1,1,0,0,0,0,0
352800126,332948,1,1,1,0,0,0,0,0
