timestamp,saturation_status
333009465,1533
333031681,1533
334179451,1
335014716,1
335991389,1
336991152,1
338004386,1
339004279,1
340000766,1
340994022,1
342003906,1
343005217,1
343994010,1
345010005,1
346003286,1
346997448,1
348012837,1
349002788,1
350007107,1
351006904,1
351999075,1
353003928,1
354002049,1
355003577,1
355996179,1
356993301,1
358005856,1
358995694,1
360007931,1
361010472,1
362012498,1
363007394,1
363997172,1
365012057,1
366006852,1
367015096,1
367999265,1
368996600,1
369996351,1
371009167,1
372010976,1
373000816,1
374010802,1
374994269,1
376008146,1
377015335,1
377993922,1
379007494,1
380009623,1
381009636,1
381993009,1
382996880,1
384006659,1
384992184,1
385993795,1
386993738,1
387996061,1
388998064,1
389993156,1
390992820,1
392015327,1
393010863,1
394012577,1
394997081,1
396005673,1
396999946,1
398011255,1
398994632,1
400004596,1
401004672,1
401995940,1
402990680,1
403995536,1
405003593,1
405993440,1
407013742,1
408013135,1
409007236,1
410002688,1
411009091,1
411999036,1
413011479,1
414013771,1
415003408,1
415993285,1
416992975,1
418006675,1
419007565,1
420007414,1
420997304,1
422005272,1
422999602,1
424011624,1
425001499,1
426011209,1
427008774,1
427994475,1
429003986,1
430008127,1
430993904,1
432000071,1
432999761,1
433999575,1
434999382,1
436002465,1
437002221,1
437993835,1
439006146,1
440005991,1
441003152,1
441995934,1
443011076,1
444015239,1
444997309,1
446012041,1
447001889,1
448011666,1
449009043,1
450006342,1
450995994,1
452008510,1
453014270,1
453998079,1
455010016,1
455999925,1
456997361,1
458014435,1
459002592,1
460008885,1
460998754,1
462006317,1
463003290,1
463998170,1
465006484,1
466005786,1
467005791,1
468002186,1
469002125,1
470005117,1
471004781,1
472008932,1
473011041,1
474000699,1
475008346,1
475998000,1
477007805,1
478007497,1
479009587,1
480007046,1
481009019,1
482012289,1
482993766,1
484006130,1
485013157,1
486001174,1
487007821,1
488011150,1
488997195,1
490012118,1
491006824,1
492004766,1
492994457,1
494001075,1
495004150,1
495995549,1
497007957,1
497997859,1
499014826,1
500012950,1
501002424,1
501992718,1
502996612,1
503993868,1
504998333,1
505995773,1
507005667,1
507997664,1
508997398,1
509999720,1
510999569,1
512006591,1
513001398,1
513998708,1
514998500,1
516000555,1
517005358,1
517995285,1
519003126,1
519999592,1
521009252,1
522002468,1
523002021,1
524001881,1
525003432,1
526013137,1
527007791,1
528005365,1
529005087,1
530002069,1
530995067,1
532009243,1
533005057,1
534001112,1
535000748,1
535990464,1
537003456,1
538005132,1
539004999,1
540007229,1
541006909,1
542008855,1
542996556,1
543996088,1
545008239,1
546005584,1
547012678,1357
548007330,1517
548999744,1357
549995057,1533
550994780,1533
552004978,1533
553011059,1533
554008550,1533
554995421,1533
