timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
333008246,0.012193968,-0.00084788766,0.0006631288,4999,0,0.09249814,0.025339859,-9.675532,4999,0
333013247,0.0116571225,-0.0012396198,0.00022965309,5001,0,0.08762865,0.03741771,-9.675158,5001,0
333018244,0.010961333,-0.0015074838,0.00033726456,4997,0,0.080018595,0.036674056,-9.674396,4997,0
333023243,0.011800337,-0.0019512067,5.8047724e-05,4999,0,0.07496277,0.015368923,-9.655058,4999,0
333028242,0.011510104,-0.0020058688,-0.0011049587,4999,0,0.07209186,0.009593011,-9.673733,4999,0
333033241,0.009744319,-0.00016573713,-0.0006542897,4999,0,0.11389008,0.016009355,-9.676666,4999,0
333038241,0.012678219,-0.0018046105,-0.00023537209,5000,0,0.092890635,-0.000496904,-9.672168,5000,0
333043240,0.010557528,-0.0013022728,-0.001742115,4999,0,0.10001867,0.0197118,-9.649798,4999,0
333048240,0.01056858,-0.0005446921,-0.0016007705,5000,0,0.06776031,0.037905194,-9.677642,5000,0
333053239,0.012276676,-0.0011375232,-0.0008578863,4999,0,0.10556956,0.029351009,-9.678922,4999,0
333058238,0.011693223,-0.00018735226,-0.000292551,4999,0,0.11416338,0.01326108,-9.689943,4999,0
333063237,0.011764098,0.00017675229,-0.0019265896,4999,0,0.096879736,0.027404387,-9.659706,4999,0
333068236,0.011991028,-0.0006069517,-0.0012903695,4999,0,0.09884867,0.0396638,-9.676339,4999,0
333073236,0.01196646,-0.0012737759,-0.0021883857,5000,0,0.112525254,0.029608188,-9.662278,5000,0
333078234,0.012447696,-0.0010320598,-0.0013112549,4998,0,0.0796384,0.01394689,-9.676028,4998,0
333083234,0.012008026,0.0014512818,-0.0003390374,5000,0,0.043590542,-0.010197009,-9.676111,5000,0
