timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
333003247,0.0,-0.0,-2.5779858,0.0,-0.27808845,0.0,0.0,0.9605555,0.0,0.0,-0.001,0,0,0,0,0
333023243,0.0,-0.0,-2.5779617,0.0,-0.27809998,0.0,0.0,0.96055216,0.0,0.0,-0.001,0,0,0,0,0
333103233,0.0,-0.0,-2.578024,0.0,-0.27807012,0.0,0.0,0.9605608,0.0,0.0,-0.001,0,0,0,0,0
334183122,-0.001431169,-0.0006746492,-2.5780032,0.0,-0.2780798,0.0005230095,-0.000593557,0.96055764,0.0,0.0,-0.032346237,0,0,0,0,0
334203108,-0.0005006197,-0.0016521541,-2.5780032,0.0,-0.27807975,0.0008631009,-1.0721513e-05,0.9605576,0.0,0.0,-0.034298692,0,0,0,0,0
334283115,0.0067339544,-0.004804242,-2.5780032,0.0,-0.27808547,0.0013710761,0.0039021382,0.96054745,0.0,0.0,-0.047532134,0,0,0,0,0
334383050,-0.0001742482,-0.007848642,-2.5780032,0.0,-0.27807757,0.0037937546,0.0010075853,0.9605506,0.0,0.0,-0.06504673,0,0,0,0,0
334483036,0.006700759,-0.00093615835,-2.5780032,0.0,-0.27808,-0.00048205716,0.0033483896,0.960552,0.0,0.0,-0.08940713,0,0,0,0,0
334583032,0.0066209785,-0.0013925557,-2.5780032,0.0,-0.27808067,-0.00025176775,0.0033735302,0.96055174,0.0,0.0,-0.11287918,0,0,0,0,0
334683009,-0.004667859,0.00607146,-2.5780032,0.0,-0.27808478,-0.0022669663,-0.0030860342,0.96054894,0.0,0.0,-0.13575357,0,0,0,0,0
334782993,-0.001097318,-0.004039764,-2.5780032,0.0,-0.27807835,0.0020927824,3.467071e-05,0.96055615,0.0,0.0,-0.16032797,0,0,0,0,0
334882979,-0.0009993991,0.0019720003,-2.5780032,0.0,-0.27808034,-0.00080815353,-0.000754177,0.9605572,0.0,0.0,-0.19007681,0,0,0,0,0
334982965,0.0022611704,0.0014693137,-2.5780032,0.0,-0.27807903,-0.0010200728,0.00088169886,0.9605573,0.0,0.0,-0.2180911,0,0,0,0,0
335082951,0.02920677,0.004819103,-2.5780032,0.0,-0.27801576,-0.0063750176,0.01335688,0.9604625,0.0,0.0,-0.24158253,0,0,0,0,0
335182937,-0.0014692245,0.0183186,-2.5780032,0.0,-0.27807483,-0.00859364,-0.00325259,0.9605155,0.0,0.0,-0.27483952,0,0,0,0,0
335282923,0.017031025,0.023770334,-2.5780032,0.0,-0.27795312,-0.013783505,0.004874136,0.96048343,0.0,0.0,-0.28781915,0,0,0,0,0
335382926,0.044038944,0.035723094,-2.5780032,0.0,-0.27759054,-0.023273688,0.016180424,0.9602812,0.0,0.0,-0.27082866,0,0,0,0,0
335482897,0.030122016,0.034964122,-2.5780032,0.0,-0.27775317,-0.020977141,0.009603599,0.96037537,0.0,0.0,-0.2654219,0,0,0,0,0
335582880,0.037305787,0.033910744,-2.5780032,0.0,-0.277688,-0.021468954,0.0131996665,0.9603407,0.0,0.0,-0.26757863,0,0,0,0,0
335682922,0.018124798,0.040210493,-2.5780032,0.0,-0.27783749,-0.021829687,0.003112819,0.960375,0.0,0.0,-0.26862234,0,0,0,0,0
335782852,0.014704209,0.036431376,-2.5780032,0.0,-0.2778978,-0.019539898,0.0019958843,0.9604098,0.0,0.0,-0.27256787,0,0,0,0,0
