timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
334924102,334922974,0.23253265,0.0016407444,2.343718,8.153019,0.07485999,6.011928,0
334944193,334942971,0.22797598,0.0011822091,0.6146661,8.343759,0.0050312313,5.9690466,0
335024582,335022963,0.23499922,0.0005256684,1.2570543,6.817237,0.02575474,5.8389325,0
335124161,335122948,0.218518,0.00026465688,-1.3757948,6.6652794,0.03155342,5.740438,0
335224581,335222931,0.23096755,0.00016362382,3.0289445,6.331643,0.16099918,5.9069915,0
335324116,335322916,0.23523942,0.00012001533,1.9626706,6.161675,0.069463,5.8383584,0
335424275,335422903,0.24149948,9.830905e-05,0.32302606,5.9939795,0.0019342712,5.742379,0
335523976,335522889,0.24479222,8.420675e-05,-1.9734534,5.7261457,0.0755699,5.5422482,0
335624415,335622919,0.25225997,7.433198e-05,-0.8066025,5.81262,0.012436685,5.6317463,0
335724052,335722860,0.25296405,6.664269e-05,-4.1959133,5.669183,0.34505635,5.6420608,0
335824191,335822848,0.25380474,6.0545244e-05,0.06999737,5.618493,9.689494e-05,5.4614034,0
335924156,335922856,0.25267348,5.5323217e-05,2.0835931,5.4217787,0.08896958,5.3240857,0
336024117,336022819,0.2527408,5.081948e-05,1.1686815,5.2225204,0.029058266,5.1022086,0
336124133,336122805,0.25226456,4.6698755e-05,0.19931102,5.010127,0.00088099076,4.8785195,0
336224025,336222804,0.25264302,4.2954212e-05,-1.0717963,4.8122373,0.026523754,4.694677,0
336324132,336322776,0.2520735,3.967871e-05,-0.07396114,4.729022,0.00012852669,4.609121,0
336423845,336422761,0.25000364,3.677698e-05,2.9427524,4.68926,0.20519209,4.6552887,0
336523970,336522747,0.2529207,3.4219272e-05,-2.489734,4.723993,0.14579888,4.666969,0
336623917,336622738,0.25468493,3.2101965e-05,-1.215232,4.601885,0.03565662,4.5106196,0
336723953,336722715,0.25554135,3.0420375e-05,-0.13106541,4.4159408,0.00043222558,4.32855,0
336823852,336822705,0.25556955,2.9073213e-05,-0.544348,4.235626,0.00777308,4.1595106,0
336923829,336922690,0.25671965,2.805184e-05,1.5030739,4.1003523,0.06122052,4.0665045,0
337023997,337022741,0.2555359,2.7358947e-05,2.9617994,3.9989276,0.24373911,4.046311,0
337123782,337122662,0.2557191,2.7063343e-05,-2.0231915,4.2338033,0.10742387,4.213258,0
337223846,337222648,0.25695407,2.6465803e-05,-7.23034,4.369911,1.3292367,4.7520394,0
337323911,337322634,0.2583526,2.523983e-05,-0.23593175,4.8183103,0.0012836172,4.7212358,0
