timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
333003247,36.20480637171122,138.25291941493992,44.042625,86.13728,-0.0,2.238235,4.3705316,43.951717,2,0,1,0
333013247,36.204806371803414,138.2529194153335,44.042667,86.13733,-0.0,2.238366,4.370591,43.9515,2,0,1,0
334193134,36.20480638838198,138.25291954254487,44.070393,86.170715,-0.0,2.2379854,4.370538,43.97957,2,0,1,0
334203108,36.204806389758524,138.25291954398043,44.070755,86.17108,-0.0,2.238115,4.3703804,43.978275,2,0,1,0
334393050,36.20480638754362,138.25291956630818,44.076202,86.17711,-0.0,2.2379618,4.370477,43.980846,2,0,1,0
334593028,36.204806387567196,138.25291958486596,44.083088,86.18448,-0.0,2.2379408,4.370417,43.987877,2,0,1,0
334792992,36.20480638640293,138.2529196082745,44.091103,86.19274,-0.0,2.2379315,4.370358,44.000095,2,0,1,0
334992963,36.204806377082306,138.25291966397742,44.106377,86.208145,-0.0,2.2379107,4.3705144,43.99994,2,0,1,0
335192935,36.204806309513714,138.25291975053446,44.133774,86.23544,-0.0,2.237894,4.3704543,43.99994,2,0,1,0
335392907,36.204806121510366,138.25291981851112,44.18717,86.288,-0.0,2.237896,4.3703947,43.99994,2,0,1,0
335592927,36.20480588736492,138.2529198549265,44.26151,86.36022,-0.0,2.2379117,4.3705487,43.99994,2,0,1,0
335792851,36.204805727954884,138.25291980826913,44.321198,86.41615,-0.0,2.2379477,4.3704863,43.99994,2,0,1,0
335992823,36.20480562814471,138.25291975281735,44.390957,86.48193,-0.0,2.2384508,4.3705425,43.99994,2,0,1,0
336192794,36.20480567293708,138.25291980546908,44.475452,86.56186,-0.0,2.2393267,4.37066,43.99994,2,0,1,0
336392766,36.20480583218737,138.2529199236917,44.56598,86.64607,-0.0,2.2402205,4.370994,43.99994,2,0,1,0
336592741,36.20480596822939,138.25291999634675,44.661182,86.73298,-0.0,2.240614,4.371017,43.99994,2,0,1,0
336792709,36.204806192284465,138.25291995168897,44.745148,86.806305,-0.0,2.2403555,4.3709292,43.99994,2,0,1,0
336992726,36.204806435937066,138.25291986128295,44.775547,86.82518,-0.0,2.2404327,4.3711243,43.99994,2,0,1,0
337192653,36.20480660421637,138.2529199106726,44.70305,86.741066,-0.0,2.2405748,4.3710976,43.99994,2,0,1,0
337392624,36.204806624015454,138.25291987199395,44.54793,86.577225,-0.0,2.2417698,4.371257,43.99994,2,0,1,0
337592596,36.20480649490119,138.25291971286654,44.471653,86.49568,-0.0,2.2434711,4.371473,43.99994,2,0,1,0
337792567,36.20480635292632,138.25291949832786,44.4774,86.49684,-0.0,2.2447326,4.3718634,43.99994,2,0,1,0
337992539,36.20480644939591,138.25291947021134,44.517025,86.530945,-0.0,2.2466,4.3720794,43.99994,2,0,1,0
338192511,36.204806770128556,138.25291950257412,44.49251,86.49964,-0.0,2.248014,4.372236,43.99994,2,0,1,0
338392482,36.20480701139473,138.25291945256635,44.470615,86.471695,-0.0,2.2485862,4.372304,43.99994,2,0,1,0
338592454,36.20480711852931,138.25291919124345,44.447224,86.44316,-0.0,2.2484872,4.372561,43.99994,2,0,1,0
338792426,36.20480738237124,138.2529189397088,44.42815,86.42055,-0.0,2.247842,4.372453,43.99994,2,0,1,0
338992397,36.20480777478282,138.2529190293165,44.40995,86.39958,-0.0,2.246863,4.3722606,43.99994,2,0,1,0
339192369,36.20480783918878,138.2529193544311,44.396545,86.383415,-0.0,2.2461772,4.37234,43.99994,2,0,1,0
339392387,36.20480725310258,138.25291946661847,44.39785,86.382324,-0.0,2.2456594,4.37216,43.99994,2,0,1,0
339592312,36.20480643517592,138.252918777719,44.40574,86.38838,-0.0,2.2455301,4.372049,43.99994,2,0,1,0
339792284,36.20480586102623,138.25291742468528,44.40872,86.3893,-0.0,2.2454674,4.3722053,43.99994,2,0,1,0
339992262,36.204805634355296,138.25291598993763,44.400993,86.37991,-0.0,2.2460308,4.3722405,0.0,2,0,0,0
340192227,36.204805427144656,138.25291529117865,44.43909,86.416,-0.0,2.2460568,4.372158,0.0,2,0,0,0
340392199,36.204805138450965,138.2529158130911,44.55511,86.52725,-0.0,2.245888,4.3720317,0.0,2,0,0,0
340592172,36.204804909396806,138.25291730037975,44.613243,86.577896,-0.0,2.2455444,4.372117,0.0,2,0,0,0
340792142,36.20480478718561,138.2529188469731,44.629333,86.58568,-0.0,2.2452729,4.3719554,0.0,2,0,0,0
340992114,36.204804805724976,138.25291972458916,44.63801,86.585556,-0.0,2.245,4.3717947,0.0,2,0,0,0
341192116,36.20480496101716,138.25291990673983,44.627613,86.56586,-0.0,2.2447426,4.3716397,0.0,2,0,0,0
341392057,36.2048051735721,138.25291975089482,44.603466,86.533264,-0.0,2.2444968,4.3717375,0.0,2,0,0,0
341592028,36.20480524155451,138.25291975732864,44.59678,86.519196,-0.0,2.2442627,4.3715916,0.0,2,0,0,0
