timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
335062954,-1.8811336,3.941364,-2.5146403,-1.2580037,-0.00136671,1.2552705,2.511908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
335072954,-1.6713231,3.7239015,-2.514647,-1.2580104,-0.0013735606,1.2552637,2.5119014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
335262926,0.081788495,3.5581985,-2.503594,-1.246954,0.009668338,1.2662933,2.5229378,0.031387195,0.022722173,0.018586993,0.024696324,0.03260731,0.013196925,0.014729474,0.0069621354,0.0006290786,0.004482409,0.19999373,0.20000108,0.20000699,0.20000318,0.19999506
335462897,-1.6372051,3.729891,-2.4721668,-1.2156706,0.04089343,1.2976259,2.5543957,-0.02963073,-0.017751692,0.049038097,0.07843745,0.029818153,0.031003168,-0.035364605,-0.044575363,0.016098589,0.06280896,0.2000391,0.20005272,0.19999358,0.19994318,0.19997142
335662871,-0.4024911,3.7731845,-2.4437418,-1.1871486,0.0691534,1.325627,2.5824988,-0.10802052,-0.037334606,0.044348456,0.024144134,-0.07003758,-0.0012105347,-0.064119816,-0.016339634,0.076120995,0.08546643,0.19993362,0.20010692,0.20013256,0.19997482,0.19985203
335862894,-1.1399186,3.5451229,-2.425092,-1.1695273,0.0859938,1.3430129,2.6010032,-0.10291721,-0.0066952202,0.13888441,0.13271308,-0.016755214,0.053639907,-0.06818333,-0.014355306,0.1407554,0.1828206,0.20016105,0.20057598,0.2001945,0.19954452,0.199524
336062818,-2.3306117,3.5440853,-2.4209468,-1.16655,0.090677395,1.3499209,2.6075785,-0.009432495,0.10383865,0.25205418,0.23055045,0.068737365,-0.05853533,-0.17749584,-0.106690735,0.056324963,0.08612749,0.201134,0.200449,0.19914511,0.19902219,0.20024966
336262784,3.0988238,3.7921453,-2.4252534,-1.1687696,0.08869133,1.3459959,2.6022177,-0.24526356,-0.17972633,-0.102914765,-0.12122324,-0.2093091,-0.14181198,-0.2010845,-0.15704915,-0.070296586,-0.061072916,0.2002942,0.19982827,0.19959988,0.19992404,0.20035356
336462756,3.0310647,3.7354612,-2.4328568,-1.1763248,0.081215814,1.3385212,2.594664,-0.06126631,-0.012538675,0.055186234,0.048208866,-0.02374907,-0.015869807,-0.071208104,-0.04192394,0.03152371,0.04756173,0.20029509,0.19979382,0.19957772,0.19994476,0.20038861
336662727,3.1106641,3.8178854,-2.4400668,-1.1836457,0.07396231,1.3314191,2.5875893,0.01004236,0.04462646,0.056279458,0.028862067,0.00031395443,0.0039765527,0.0029561892,0.03555877,0.05669193,0.0371596,0.2003614,0.19980516,0.1995185,0.1998967,0.20041819
336862699,2.3728704,3.5941308,-2.4365246,-1.1795605,0.07772358,1.3344369,2.5904713,-0.16024695,-0.14106253,-0.086037196,-0.07129878,-0.117172524,0.055750556,0.0041738413,0.006504191,0.059564143,0.0899423,0.20002627,0.1997297,0.19980659,0.20015064,0.20028678
337062671,2.676615,3.5512164,-2.4224207,-1.1656117,0.09179387,1.3487369,2.604792,0.0077172876,0.057924412,0.037382483,-0.025482263,-0.043792974,-0.021776702,0.016099997,0.075554684,0.074370086,0.014248893,0.20012556,0.19973826,0.19971265,0.20008387,0.20033956
337262643,1.9764637,3.9339743,-2.4183583,-1.160971,0.09641574,1.3527704,2.60848,-0.0042975275,0.059486978,0.050854128,-0.01825858,-0.052298345,-0.13410553,-0.10434191,-0.03445952,-0.021114752,-0.08267914,0.19986978,0.19958796,0.19987532,0.20033507,0.20033193
337462614,2.8152926,3.5832803,-2.4191217,-1.1622865,0.09599262,1.3534467,2.608948,0.17515522,0.20559698,0.19991241,0.16599537,0.15070671,0.23751168,0.2533528,0.2871943,0.29223448,0.2615582,0.20036228,0.19951664,0.19933912,0.20007414,0.2007078
337662614,2.844762,3.5864098,-2.409347,-1.1524671,0.1066333,1.3645488,2.6195157,0.1072781,0.1595171,0.14832075,0.089160874,0.063882485,0.005088508,0.03376848,0.09236034,0.09974262,0.04583396,0.20056298,0.19928586,0.19899598,0.20009202,0.20106313
337862557,-2.8923998,3.7761455,-2.401699,-1.1461902,0.11226983,1.3711619,2.6273708,-0.061323456,0.0069021666,0.028118458,-0.027132072,-0.082254834,0.12826869,0.1280745,0.19302817,0.23314446,0.19308303,0.2009742,0.19980012,0.19890429,0.19952047,0.20080093
338062529,-2.816258,3.707782,-2.4018538,-1.1464541,0.11188236,1.3708075,2.6271613,-0.060212977,-0.014594946,-0.015321361,-0.061517462,-0.08915792,-0.031692095,-0.016124789,0.032168828,0.046311684,0.0067944378,0.20095856,0.19989894,0.19898087,0.1994693,0.20069231
338262501,2.5322857,3.53986,-2.4091165,-1.1513366,0.10837945,1.3657671,2.6197994,0.032652527,-0.100246966,-0.14699624,-0.04257709,0.068279445,0.2616306,0.26754078,0.14274894,0.059870556,0.13355614,0.20027584,0.19889551,0.19904011,0.20051062,0.20127782
338462473,2.8883078,3.5944035,-2.4110842,-1.1543623,0.1066701,1.365929,2.6198006,0.108282134,-0.13962364,-0.2848471,-0.12621029,0.11609751,0.117197074,0.1896191,-0.024278581,-0.22792973,-0.14039393,0.20101085,0.19882093,0.19826174,0.20009996,0.20180659
338662444,2.8002532,3.5492551,-2.4124122,-1.1550747,0.1062799,1.3651086,2.6183941,0.12056791,-0.14822164,-0.24975276,-0.042748354,0.18511212,0.19111697,0.2108529,-0.039527748,-0.21259992,-0.06975794,0.2010757,0.19847088,0.19797988,0.20027466,0.20219883
338862416,2.89982,3.592489,-2.4161084,-1.1594173,0.10270652,1.3626727,2.6158886,0.198364,-0.01663235,-0.23073816,-0.14619744,0.118213154,0.06248018,0.21746816,0.05986602,-0.19178867,-0.18921907,0.20129219,0.19856703,0.1978245,0.20008084,0.20223546
339062387,-2.941043,3.7872324,-2.4132638,-1.1585987,0.10195949,1.3629966,2.6184282,0.40223694,0.031737216,-0.3997985,-0.29223892,0.20240866,0.046332072,0.37870944,0.12728545,-0.35993558,-0.40786946,0.20177603,0.19957528,0.19796877,0.1991612,0.20151867
339262359,-2.7695913,3.6197972,-2.407444,-1.1535555,0.10608696,1.3673239,2.623784,0.61145747,-0.023220703,-0.6421038,-0.38491935,0.389535,0.20848134,0.6508565,0.1821756,-0.55100167,-0.5315996,0.2022551,0.19986273,0.19767104,0.19868791,0.2015233
339462343,-1.7412468,3.8091965,-2.4027295,-1.1526182,0.10265094,1.3649954,2.626511,0.6763427,-0.11015388,-0.6991293,-0.27026138,0.57914716,0.29866585,0.6599074,0.021119155,-0.73585016,-0.56040585,0.20233536,0.20265406,0.19929779,0.19692689,0.19878595
339662302,-2.6347928,3.48986,-2.386884,-1.1366962,0.1260067,1.3928286,2.6496887,0.35848737,-0.2364171,-0.67377687,-0.34653416,0.294405,0.33158332,0.59464645,0.11087277,-0.4571189,-0.31801653,0.20474222,0.20036486,0.19552673,0.19683926,0.20252693
339862274,-2.2469254,3.467629,-2.4010665,-1.1504722,0.10741984,1.370855,2.630425,0.38048056,0.20855963,-0.17784294,-0.24032474,0.10678489,-0.15891203,0.1878834,0.13119648,-0.25555772,-0.4313283,0.20347781,0.20160618,0.19753045,0.19686465,0.20052086
340062245,-0.91011715,3.4817486,-2.3976443,-1.1461388,0.103700124,1.3612221,2.6252546,0.33026677,0.5441881,-0.03366252,-0.606521,-0.3765245,-0.6300366,0.044042617,0.45906243,0.033424363,-0.6391858,0.2002471,0.20403494,0.20222269,0.19734201,0.1961533
340262218,0.2122176,3.430751,-2.4077258,-1.1490347,0.10371676,1.3558108,2.613596,0.47009528,0.9060975,0.21133327,-0.6630035,-0.502797,-0.77890426,0.09723438,0.78570306,0.33751038,-0.63523954,0.19699584,0.20067814,0.20345823,0.20141913,0.19744866
340462239,0.29882333,3.438381,-2.4183302,-1.1587679,0.09376956,1.3448484,2.602231,0.30686724,0.7568607,0.17198397,-0.6379607,-0.5584924,-0.71082366,0.052551836,0.7139083,0.36535436,-0.51548404,0.19610238,0.20042619,0.20421271,0.20212458,0.19713415
340662161,0.19894806,3.3953648,-2.4302287,-1.17068,0.08039683,1.3305764,2.5888886,0.17889464,0.39308363,0.040822342,-0.38972768,-0.30694997,-0.4106952,0.030546587,0.36883527,0.14054818,-0.34121865,0.19541101,0.20095281,0.2052471,0.20221427,0.19617483
