timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
333013160,0.0,0.0,0,15,59210,65536,0,3,122
334195163,59.59961,49.972256,3,15,5457,65536,0,3,122
335197448,96.91211,44.15253,3,22,1408,65536,0,3,122
336198532,120.40918,37.67469,3,22,6227,65536,0,3,122
337199424,152.14746,36.252213,3,22,2328,65536,0,3,122
338200652,179.32129,34.49718,3,22,2431,65536,0,3,122
339201503,206.78906,33.358482,3,22,2211,65536,0,3,122
340202335,234.04199,32.50662,3,22,2328,65536,0,3,122
341203445,260.0254,31.706789,3,22,3678,65536,0,3,122
342204377,288.6621,31.369947,3,22,2261,65536,0,3,122
343205391,315.91504,30.963314,3,22,2378,65536,0,3,122
344206431,343.1582,30.628399,3,22,2388,65536,0,3,122
345207511,369.63867,30.285835,3,22,3102,65536,0,3,122
346208340,393.68555,29.811495,3,22,6502,65536,0,3,122
347209345,424.96484,29.912704,3,22,2211,65536,0,3,122
348210347,452.00293,29.721708,3,22,2431,65536,0,3,122
349212597,475.5586,29.337198,3,22,6384,65536,0,3,122
350215897,506.8379,29.444399,3,22,2261,65536,0,3,122
351216873,534.4082,29.339933,3,22,1986,65536,0,3,122
352217881,560.6572,29.177536,3,22,3201,65536,0,3,122
353218881,588.69434,29.119684,3,22,2398,65536,0,3,122
354220009,616.2158,29.042809,3,22,2106,65536,0,3,122
355221689,645.36523,29.045412,3,22,331,65536,0,3,122
356221890,670.5674,28.879642,3,22,2420,65536,0,3,122
357222899,699.8711,28.895947,3,22,320,65536,0,3,122
358223911,725.5049,28.7655,3,22,2095,65536,0,3,122
359225105,752.01074,28.677967,3,22,2910,65536,0,3,122
360225981,781.74414,28.715813,3,22,370,65536,0,3,122
361227020,807.3779,28.605558,3,22,2145,65536,0,3,122
362227861,836.4131,28.619436,3,22,320,65536,0,3,122
363228894,862.79395,28.5444,3,22,1213,65536,0,3,122
364229870,890.9844,28.532171,3,22,420,65536,0,3,122
365230872,918.28613,28.493105,3,22,370,65536,0,3,122
366231935,943.00977,28.378756,3,22,3006,65536,0,3,122
367232871,972.8574,28.420889,3,22,466,65536,0,3,122
368234172,997.9619,28.325712,3,22,2716,65536,0,3,122
369234871,1024.0,28.262026,3,22,3960,65536,0,3,122
370235874,1052.5166,28.268105,3,22,2783,65536,0,3,122
371236868,1079.8838,28.243805,3,22,2666,65536,0,3,122
372238158,1107.1855,28.218866,3,22,2736,65536,0,3,122
373238976,1134.3896,28.193071,3,22,2903,65536,0,3,122
374240023,1161.7568,28.172333,3,22,2786,65536,0,3,122
375240864,1189.0586,28.151155,3,22,2736,65536,0,3,122
376241901,1216.0,28.122505,3,22,3172,65536,0,3,122
377242993,1243.6299,28.110676,3,22,2836,65536,0,3,122
