timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
333003074,5.016064,3.3338377,1,0,1,0,1,0,0
333013075,5.0611815,3.3354492,1,0,1,0,1,0,0
334193201,4.964502,3.3290038,1,0,1,0,1,0,0
334203148,4.9725585,3.3322265,1,0,1,0,1,0,0
334693091,5.0370116,3.3370605,1,0,1,0,1,0,0
335193078,4.988672,3.338672,1,0,1,0,1,0,0
335694154,4.954834,3.3322265,1,0,1,0,1,0,0
336194159,5.0499024,3.3354492,1,0,1,0,1,0,0
336693750,5.0466795,3.3354492,1,0,1,0,1,0,0
337193694,5.014453,3.3322265,1,0,1,0,1,0,0
337693905,5.064404,3.3354492,1,0,1,0,1,0,0
338193788,5.033789,3.3322265,1,0,1,0,1,0,0
338694262,5.0208983,3.3338377,1,0,1,0,1,0,0
339193646,5.040234,3.3322265,1,0,1,0,1,0,0
339693600,5.0499024,3.3354492,1,0,1,0,1,0,0
340193646,5.043457,3.3322265,1,0,1,0,1,0,0
340693204,5.0354004,3.3338377,1,0,1,0,1,0,0
341193438,5.057959,3.3338377,1,0,1,0,1,0,0
341694024,5.030566,3.3354492,1,0,1,0,1,0,0
342193298,5.0660157,3.3338377,1,0,1,0,1,0,0
342694146,5.043457,3.3338377,1,0,1,0,1,0,0
343193107,5.043457,3.3354492,1,0,1,0,1,0,0
343693088,5.0466795,3.3322265,1,0,1,0,1,0,0
344193198,5.024121,3.338672,1,0,1,0,1,0,0
344693719,5.019287,3.3322265,1,0,1,0,1,0,0
345193138,5.0499024,3.3322265,1,0,1,0,1,0,0
345693095,5.0450683,3.3338377,1,0,1,0,1,0,0
346193078,5.053125,3.3322265,1,0,1,0,1,0,0
346693085,5.053125,3.3338377,1,0,1,0,1,0,0
347193099,5.0611815,3.3354492,1,0,1,0,1,0,0
347693076,5.040234,3.3338377,1,0,1,0,1,0,0
348193073,5.043457,3.3338377,1,0,1,0,1,0,0
348693116,5.040234,3.3338377,1,0,1,0,1,0,0
349193075,5.043457,3.3338377,1,0,1,0,1,0,0
349693246,5.053125,3.3338377,1,0,1,0,1,0,0
350193075,5.033789,3.3354492,1,0,1,0,1,0,0
350693073,5.0563474,3.3338377,1,0,1,0,1,0,0
351193188,5.0112305,3.3322265,1,0,1,0,1,0,0
351693111,5.041846,3.3338377,1,0,1,0,1,0,0
352193087,5.053125,3.3322265,1,0,1,0,1,0,0
352693075,5.030566,3.3354492,1,0,1,0,1,0,0
353193191,5.030566,3.3322265,1,0,1,0,1,0,0
353693097,5.0482907,3.3338377,1,0,1,0,1,0,0
