timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
332978336,332958195,3997730,65.05919,41.739998,100546.0,1.1946528
333028676,333010946,3997730,65.2283,41.739998,100543.99,1.194629
334153998,334136210,3997730,65.33135,41.739998,100542.75,1.1946142
334214163,334191430,3997730,65.35249,41.739998,100542.5,1.1946112
334374995,334352212,3997730,65.26794,41.739998,100543.5,1.1946231
334585878,334565651,3997730,65.26794,41.739998,100543.5,1.1946231
334796778,334779088,3997730,65.5216,41.739998,100540.49,1.1945873
334957596,334939912,3997730,65.60351,41.739998,100539.49,1.1945754
335178751,335155882,3997730,65.83603,41.739998,100536.74,1.1945428
335399582,335381922,3997730,65.47668,41.739998,100541.0,1.1945934
335560242,335542608,3997730,65.43704,41.739998,100541.5,1.1945994
335781289,335758672,3997730,65.56123,41.739998,100540.0,1.1945815
335992253,335972120,3997730,65.709206,41.739998,100538.25,1.1945608
336152956,336132791,3997730,65.41591,41.75,100541.75,1.1946024
336363977,336346368,3997730,65.56123,41.75,100540.0,1.1945815
336585104,336562438,3997730,65.896805,41.75,100536.0,1.194534
336796063,336775931,3997730,65.96023,41.75,100535.24,1.194525
336956934,336936639,3997730,66.21124,41.75,100532.25,1.1944895
337167722,337150064,3997730,66.16897,41.75,100532.74,1.1944953
337388677,337366038,3997730,66.14783,41.75,100532.99,1.1944983
337549440,337526804,3997730,66.08441,41.75,100533.75,1.1945072
337760380,337740144,3997730,66.04478,41.75,100534.25,1.1945132
337971227,337953601,3997730,66.002495,41.75,100534.74,1.194519
338192327,338169667,3997730,66.04478,41.75,100534.25,1.1945132
338353494,338330537,3997730,66.10555,41.75,100533.5,1.1945043
338574302,338556692,3997730,66.06327,41.75,100534.0,1.1945102
338795371,338772674,3997730,66.19011,41.75,100532.49,1.1944923
338955975,338933353,3997730,65.96023,41.76,100535.24,1.194525
339166961,339146852,3997730,65.896805,41.75,100535.99,1.194534
339378016,339360391,3997730,65.75148,41.76,100537.74,1.1945547
339598972,339576236,3997730,65.39477,41.76,100542.0,1.1946052
339759635,339736954,3997730,66.16897,41.75,100532.75,1.1944953
339970628,339950463,3997730,65.93909,41.75,100535.5,1.1945281
340181630,340164015,3997730,65.98136,41.75,100535.0,1.1945221
340342299,340324610,3997730,65.76997,41.76,100537.5,1.1945518
340563387,340540698,3997730,65.83339,41.76,100536.76,1.194543
340774455,340754240,3997730,65.49782,41.76,100540.75,1.1945904
340985434,340967809,3997730,65.51895,41.76,100540.5,1.1945875
341146218,341128419,3997730,65.85453,41.75,100536.5,1.1945399
341367116,341344395,3997730,65.688065,41.76,100538.49,1.1945636
341578058,341557897,3997730,65.64579,41.75,100538.99,1.1945696
341789095,341771473,3997730,65.917946,41.76,100535.76,1.1945311
341949894,341932134,3997730,66.14783,41.76,100533.0,1.1944983
342170760,342148093,3997730,65.83339,41.75,100536.75,1.1945429
342381710,342361587,3997730,65.896805,41.76,100536.0,1.194534
342542959,342522399,3997730,65.62465,41.75,100539.24,1.1945726
342773646,342750927,3997730,65.896805,41.75,100535.99,1.194534
342984734,342964525,3997730,65.60351,41.75,100539.5,1.1945755
