timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
615353805,-0.02788166,-0.13526174,0.00010574892,0.0,0.0,-0.001
615358773,-0.027888553,-0.1352809,0.000113896596,0.0,0.0,-0.001
615378842,-0.026924398,-0.13395119,0.0009641238,0.0,0.0,-0.001
615398789,-0.02946566,-0.13690591,-0.00072411186,0.0,0.0,-0.001
615418819,-0.026292136,-0.13489668,0.0011967842,0.0,0.0,-0.001
615438746,-0.026106857,-0.13315816,-0.0005684464,0.0,0.0,-0.001
615458694,-0.026981764,-0.13198711,-0.00071497686,0.0,0.0,-0.001
615473731,-0.02536421,-0.13196346,-0.0016108203,0.0,0.0,-0.001
615498759,-0.02636664,-0.13161789,0.0010359094,0.0,0.0,-0.001
615518670,-0.024844514,-0.13096723,9.212167e-06,0.0,0.0,-0.001
615538728,-0.02494902,-0.13164006,-0.0004188683,0.0,0.0,-0.001
615558731,-0.026745247,-0.13134153,-0.0010468676,0.0,0.0,-0.001
615578711,-0.024800185,-0.1300764,0.00045230368,0.0,0.0,-0.001
615598754,-0.02306906,-0.12910457,0.00031964722,0.0,0.0,-0.001
615613753,-0.022832327,-0.12819009,0.00046245294,0.0,0.0,-0.001
615638661,-0.022964517,-0.1272284,-0.0002788727,0.0,0.0,-0.001
615658724,-0.02191308,-0.12670992,0.00023093427,0.0,0.0,-0.001
615678745,-0.022185866,-0.1259305,0.00023886412,0.0,0.0,-0.001
615698650,-0.022247441,-0.12613697,0.0002356489,0.0,0.0,-0.001
615718683,-0.02227936,-0.12647232,0.00023788848,0.0,0.0,-0.001
615738681,-0.023311969,-0.12638609,0.0002302333,0.0,0.0,-0.001
615753626,-0.02301825,-0.12728819,8.02488e-05,0.0,0.0,-0.001
615778683,-0.021991393,-0.12784994,0.00048214328,0.0,0.0,-0.001
615798654,-0.022714714,-0.12827772,6.0695496e-05,0.0,0.0,-0.001
615818612,-0.022369908,-0.12856853,-0.00020206998,0.0,0.0,-0.001
615838666,-0.022952208,-0.12852141,-5.519915e-05,0.0,0.0,-0.001
615858677,-0.023518989,-0.12849317,1.3593133e-05,0.0,0.0,-0.001
615878625,-0.022077292,-0.12929845,-1.528641e-05,0.0,0.0,-0.001
615893680,-0.021718582,-0.12910987,0.00035589852,0.0,0.0,-0.001
615918642,-0.023113176,-0.12842037,0.00015538893,0.0,0.0,-0.001
