timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,accel_rate_hz,gyro_rate_hz
615261855,4259850,4325386,0,0,0,0,0,0.0036655178,3.9143466e-05,4.6974136e-10,1036,1000
615366787,4259850,4325386,0,0,0,0,0,0.003558319,3.9775678e-05,4.917091e-10,1036,1000
616311077,4259850,4325386,0,0,0,0,0,0.009271585,0.00023418106,2.4419439e-08,1036,1000
617355292,4259850,4325386,0,0,0,0,0,0.04176488,0.0010849752,5.2862356e-07,1036,1000
618299607,4259850,4325386,0,0,0,0,0,0.059307743,0.0019489302,7.878327e-07,1036,1000
619348833,4259850,4325386,0,0,0,0,0,0.06923879,0.0023226317,1.0880663e-06,1036,1000
620283632,4259850,4325386,0,0,0,0,0,0.061526522,0.0025306242,6.332962e-06,1036,1000
621317639,4259850,4325386,0,0,0,0,0,0.05908393,0.0021190594,5.04842e-06,1036,1000
622261653,4259850,4325386,0,0,0,0,0,0.054279443,0.0021458976,3.4813565e-06,1036,1000
623310929,4259850,4325386,0,0,0,0,0,0.07416013,0.0024471614,6.1407263e-06,1036,1000
624350103,4259850,4325386,0,0,0,0,0,0.063665785,0.0017853751,2.1503697e-06,1036,1000
625294405,4259850,4325386,0,0,0,0,0,0.05710491,0.001807948,6.928792e-07,1036,1000
626338640,4259850,4325386,0,0,0,0,0,0.06648564,0.0015525573,2.5422826e-06,1036,1000
627282919,4259850,4325386,0,0,0,0,0,0.0757832,0.0021279599,3.3586753e-06,1036,1000
628322136,4259850,4325386,0,0,0,0,0,0.06739727,0.0020021359,4.909371e-06,1036,1000
629261445,4259850,4325386,0,0,0,0,0,0.060221568,0.0020288576,5.993122e-06,1036,1000
630310671,4259850,4325386,0,0,0,0,0,0.07195102,0.002055132,4.141841e-06,1036,1000
631359875,4259850,4325386,0,0,0,0,0,0.06693474,0.0018880183,4.553195e-06,1036,1000
632299403,4259850,4325386,0,0,0,0,0,0.049658116,0.0024149918,1.9537772e-06,1036,1000
633348401,4259850,4325386,0,0,0,0,0,0.05750513,0.0023898494,2.483806e-06,1036,1000
634292741,4259850,4325386,0,0,0,0,0,0.0735243,0.002561387,3.9436572e-06,1036,1000
635336914,4259850,4325386,0,0,0,0,0,0.057640206,0.0028565626,4.05073e-06,1036,1000
636276216,4259850,4325386,0,0,0,0,0,0.06244478,0.002716381,4.092459e-06,1036,1000
637315507,4259850,4325386,0,0,0,0,0,0.06449112,0.0024252872,1.6117257e-06,1036,1000
638349830,4259850,4325386,0,0,0,0,0,0.060873576,0.0021237233,1.5330687e-06,1036,1000
639289042,4259850,4325386,0,0,0,0,0,0.05963248,0.0024285624,2.9298676e-06,1036,1000
640338185,4259850,4325386,0,0,0,0,0,0.057075664,0.0021546027,3.6053216e-06,1036,1000
641282487,4259850,4325386,0,0,0,0,0,0.05640525,0.0026285695,4.1110525e-06,1036,1000
642331682,4259850,4325386,0,0,0,0,0,0.047200292,0.0030747089,6.260596e-06,1036,1000
643271251,4259850,4325386,0,0,0,0,0,0.060370717,0.0018647171,2.496303e-06,1036,1000
644320217,4259850,4325386,0,0,0,0,0,0.059008565,0.0021413655,1.2700679e-06,1036,1000
645259579,4259850,4325386,0,0,0,0,0,0.055969115,0.001850517,7.1053427e-07,1036,1000
646293949,4259850,4325386,0,0,0,0,0,0.051797062,0.00215455,5.4131897e-07,1036,1000
647328053,4259850,4325386,0,0,0,0,0,0.05020848,0.0023441163,4.5642938e-07,1036,1000
648267245,4259850,4325386,0,0,0,0,0,0.062061395,0.0018670193,3.8495006e-07,1036,1000
649316458,4259850,4325386,0,0,0,0,0,0.061258618,0.0021038097,4.5550402e-07,1036,1000
650260779,4259850,4325386,0,0,0,0,0,0.06936166,0.0021108114,1.1856658e-06,1036,1000
651304957,4259850,4325386,0,0,0,0,0,0.062406477,0.0016564111,2.7577537e-06,1036,1000
652349212,4259850,4325386,0,0,0,0,0,0.052630704,0.0023782956,6.037171e-06,1036,1000
653293463,4259850,4325386,0,0,0,0,0,0.05235894,0.0027482891,4.015486e-06,1036,1000
654342841,4259850,4325386,0,0,0,0,0,0.06379745,0.0016105084,1.5939733e-06,1036,1000
655281983,4259850,4325386,0,0,0,0,0,0.05627327,0.0023537034,1.593322e-06,1036,1000
656311315,4259850,4325386,0,0,0,0,0,0.05578115,0.001832115,1.0639967e-06,1036,1000
657355422,4259850,4325386,0,0,0,0,0,0.059373397,0.0018235273,5.3517874e-07,1036,1000
658299768,4259850,4325386,0,0,0,0,0,0.054934114,0.0018426949,6.639385e-07,1036,1000
659338905,4259850,4325386,0,0,0,0,0,0.062423233,0.0019967086,5.8405845e-07,1036,1000
660283211,4259850,4325386,0,0,0,0,0,0.06039303,0.0016308367,3.9010507e-07,1036,1000
661327441,4259850,4325386,0,0,0,0,0,0.055621997,0.001971682,4.659664e-07,1036,1000
662271696,4259850,4325386,0,0,0,0,0,0.054404125,0.0021529738,1.0054157e-06,1036,1000
663311110,4259850,4325386,0,0,0,0,0,0.05930195,0.0020993021,8.578863e-07,1036,1000
664356016,4259850,4325386,0,0,0,0,0,0.055739064,0.0022784665,5.318193e-07,1036,1000
665284676,4259850,4325386,0,0,0,0,0,0.04723076,0.002512614,7.8723605e-07,1036,1000
666328621,4259850,4325386,0,0,0,0,0,0.06490455,0.0016911037,8.182059e-07,1036,1000
667272910,4259850,4325386,0,0,0,0,0,0.0756859,0.0016161032,4.2551181e-07,1036,1000
