timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
615355264,615355264,39,0,0,20003,1501,1500,1006,1499,2000,1000,1501,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
615376156,615376156,39,0,0,20002,1500,1500,1006,1500,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
615858745,615858745,39,0,0,20003,1501,1500,1006,1499,2000,1000,1501,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
616340873,616340873,39,0,0,20002,1500,1500,1005,1499,2000,1001,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
616840822,616840822,39,0,0,20002,1500,1500,1006,1499,2000,1000,1500,1501,0,0,0,0,0,0,0,0,0,0,8,0,0,2
617345885,617345885,39,0,0,20002,1500,1501,1005,1499,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
617850686,617850686,39,0,0,20003,1504,1489,1005,1499,2000,1000,1501,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
618356281,618356281,39,0,0,20003,1501,1495,1005,1499,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
618855688,618855688,39,0,0,20002,1500,1499,1005,1500,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
619354456,619354456,39,0,0,20003,1501,1497,1018,1498,2000,1000,1501,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
619845222,619845222,39,0,0,20003,1515,1406,1083,1499,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
620347937,620347937,39,0,0,20003,1557,1405,1068,1498,2000,1000,1500,1501,0,0,0,0,0,0,0,0,0,0,8,0,0,2
620845218,620845218,39,0,0,20003,1577,1497,1067,1498,2000,1001,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
621345153,621345153,39,0,0,20002,1568,1439,1194,1500,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
621844953,621844953,39,0,0,20003,1605,1444,1193,1499,2000,1000,1500,1501,0,0,0,0,0,0,0,0,0,0,8,0,0,2
622353881,622353881,39,0,0,20002,1680,1365,1193,1499,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
622844892,622844892,39,0,0,20003,1591,1478,1366,1499,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
623339695,623339695,39,0,0,20003,1455,1558,1364,1498,2000,1000,1501,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
623849544,623849544,39,0,0,20003,1500,1503,1365,1499,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
624352285,624352285,39,0,0,20003,1500,1502,1412,1498,2000,1000,1500,1501,0,0,0,0,0,0,0,0,0,0,8,0,0,2
624849442,624849442,39,0,0,20002,1498,1501,1395,1499,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
625344377,625344377,39,0,0,20003,1500,1501,1500,1448,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
625837476,625837476,39,0,0,20002,1499,1579,1495,1498,2000,1001,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
626347976,626347976,39,0,0,20002,1459,1554,1496,1457,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
626849019,626849019,39,0,0,20003,1381,1589,1496,1498,2000,1000,1501,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
627349271,627349271,39,0,0,20003,1500,1545,1497,1499,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
627847191,627847191,39,0,0,20003,1479,1555,1498,1499,2000,1000,1500,1501,0,0,0,0,0,0,0,0,0,0,8,0,0,2
628338847,628338847,39,0,0,20002,1393,1647,1500,1498,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
628851437,628851437,39,0,0,20002,1433,1538,1500,1499,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
629357530,629357530,39,0,0,20003,1345,1588,1500,1499,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
629841297,629841297,39,0,0,20002,1422,1658,1500,1500,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
630341151,630341151,39,0,0,20002,1500,1607,1522,1499,2000,1000,1501,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
630841083,630841083,39,0,0,20002,1500,1580,1589,1499,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
631353233,631353233,39,0,0,20002,1500,1548,1583,1498,2000,1000,1500,1501,0,0,0,0,0,0,0,0,0,0,8,0,0,2
631836241,631836241,39,0,0,20003,1500,1562,1585,1499,2000,1000,1500,1501,0,0,0,0,0,0,0,0,0,0,8,0,0,2
632340816,632340816,39,0,0,20003,1500,1501,1585,1499,2000,1000,1500,1501,0,0,0,0,0,0,0,0,0,0,8,0,0,2
632840641,632840641,39,0,0,20002,1531,1500,1584,1499,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
633348086,633348086,39,0,0,20002,1581,1436,1585,1499,2000,1000,1500,1501,0,0,0,0,0,0,0,0,0,0,8,0,0,2
633846370,633846370,39,0,0,20003,1530,1482,1584,1499,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
634352779,634352779,39,0,0,20003,1612,1428,1585,1499,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
634850465,634850465,39,0,0,20003,1596,1443,1501,1499,2000,1001,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
635345916,635345916,39,0,0,20002,1597,1441,1342,1499,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
635842610,635842610,39,0,0,20002,1593,1435,1319,1498,2000,1001,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
636345821,636345821,39,0,0,20002,1578,1441,1295,1499,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
636845647,636845647,39,0,0,20002,1569,1441,1295,1498,2000,1001,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
637357549,637357549,39,0,0,20003,1563,1437,1297,1499,2000,1001,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
637839896,637839896,39,0,0,20002,1561,1437,1297,1499,2000,1001,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
638357523,638357523,39,0,0,20003,1564,1449,1307,1499,2000,1001,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
638836962,638836962,39,0,0,20003,1559,1438,1308,1499,2000,1001,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
639346887,639346887,39,0,0,20003,1546,1443,1308,1498,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,8,0,0,2
