timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
615352218,615351371,396809,-0.15968037,0.15416884,0.98485875,nan,0,1
615363480,615362529,396809,-0.15671997,0.15707135,0.95283663,nan,0,1
616352993,616352105,396809,-0.15375958,0.15416884,0.96244323,nan,0,1
617354399,617353431,396809,-0.1271161,0.1280462,0.9976676,nan,0,1
618355476,618354569,396809,-0.16560113,0.2296342,0.7478947,nan,0,1
619356116,619355274,396809,-0.16264075,0.12224116,0.52694184,nan,0,1
620357600,620356655,396809,-0.21888812,0.10772859,0.49171746,nan,0,1
621347487,621346485,396809,-0.16856152,0.110631116,0.55896395,nan,0,1
622348561,622347610,396809,-0.18336345,0.290587,0.54615515,nan,0,1
623349573,623348676,396809,0.059388287,-0.0025669478,0.80873686,nan,0,1
624350647,624349795,396809,-0.014621392,0.14546129,0.7703103,nan,0,1
625351354,625350513,396809,0.07419022,0.067093395,0.7478947,nan,0,1
626352441,626351594,396809,0.04754674,0.049678314,0.677446,nan,0,1
627353474,627352631,396809,0.13339797,0.058385853,0.6550305,nan,0,1
628355143,628354296,396809,0.2666154,-0.025787063,0.603795,nan,0,1
629356023,629355110,396809,0.086031765,0.03516574,0.69345707,nan,0,1
630356747,630355890,396809,0.12155642,0.21221913,0.73828804,nan,0,1
631358167,631357321,396809,-0.017581778,0.12514369,0.78311914,nan,0,1
632348006,632347110,396809,-0.03830449,0.1483638,0.7607036,nan,0,1
633349116,633348172,396809,-0.13303687,0.1919015,0.69665927,nan,0,1
634350993,634350151,396809,-0.13303687,0.2296342,0.6390194,nan,0,1
635352089,635351225,396809,-0.115274556,0.16287638,0.6582327,nan,0,1
636353176,636352335,396809,-0.10639339,0.14546129,0.69665927,nan,0,1
637354677,637353709,396809,-0.15671997,0.19770655,0.7094682,nan,0,1
638355286,638354442,396809,-0.17744268,0.2296342,0.7639059,nan,0,1
639356420,639355552,396809,-0.22776926,0.27026942,0.80873686,nan,0,1
640357812,640356933,396809,-0.23369004,0.2296342,0.8311524,nan,0,1
641358547,641357707,396809,-0.17744268,0.24124427,0.8759834,nan,0,1
642348307,642347464,396809,-0.070868745,0.16577889,0.94323,nan,0,1
643349852,643348889,396809,-0.13303687,0.2093166,0.9208144,nan,0,1
644350840,644349985,396809,-0.061987583,0.18319398,0.9080056,nan,0,1
645351901,645351044,396809,-0.07678952,0.17448644,0.77991694,nan,0,1
646353888,646353018,396809,-0.07974991,0.16287638,0.7478947,nan,0,1
