timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
615357833,0.0,0.0,0,14,58967,65536,0,3,122
616360253,80.76758,79.66266,0,14,9248,65536,0,3,122
617361186,110.25586,54.7229,0,14,6295,65536,0,3,122
618362017,137.56445,45.617092,0,14,6555,65536,0,3,122
619364185,165.38086,41.162025,0,14,6437,65536,0,3,122
620364208,196.04688,39.070087,0,14,2942,65536,0,3,122
621365050,220.02246,36.556675,0,14,6415,65536,0,3,122
622366099,247.27539,35.22584,0,14,6415,65536,0,3,122
623367454,274.64258,34.240135,0,14,6171,65536,0,3,122
624367993,301.73145,33.445408,0,14,6495,65536,0,3,122
625369026,328.98438,32.824112,0,14,6495,65536,0,3,122
626370002,356.35156,32.326187,0,14,6378,65536,0,3,122
627370979,384.0,31.934544,0,14,6090,65536,0,3,122
628372122,410.85742,31.541967,0,14,6545,65536,0,3,122
629372985,438.2246,31.242393,0,14,6428,65536,0,3,122
630374153,465.47754,30.974491,0,14,6545,65536,0,3,122
631375045,497.39746,31.031752,0,14,1766,65536,0,3,122
632376270,526.2285,30.900291,0,14,200,65536,0,3,122
633377055,553.5957,30.703,0,14,200,65536,0,3,122
634377994,580.89746,30.522766,0,14,220,65536,0,3,122
635379027,601.9707,30.049488,0,14,6548,65536,0,3,122
636380236,635.46875,30.211716,0,14,320,65536,0,3,122
637381017,662.7705,30.07858,0,14,270,65536,0,3,122
638381987,688.459,29.886734,0,14,1872,65536,0,3,122
639383138,712.0752,29.62443,0,14,5545,65536,0,3,122
640385011,717.22656,28.644804,0,14,28177,65536,0,3,122
641385399,768.0,29.494202,0,14,4142,65536,0,3,122
642386022,799.0508,29.551088,0,14,370,65536,0,3,122
643386979,826.35254,29.469864,0,14,320,65536,0,3,122
644387982,853.60547,29.39251,0,14,320,65536,0,3,122
645388982,880.97266,29.324114,0,14,370,65536,0,3,122
646389985,908.2256,29.25645,0,14,370,65536,0,3,122
647390984,935.4785,29.193014,0,14,370,65536,0,3,122
648391978,960.0,29.050768,0,14,3284,65536,0,3,122
649393766,990.09863,29.080023,0,14,420,65536,0,3,122
650393988,1017.35156,29.027706,0,14,420,65536,0,3,122
651395010,1044.7188,28.980824,0,14,420,65536,0,3,122
652395978,1071.9717,28.933426,0,14,420,65536,0,3,122
653397931,1099.2246,28.887775,0,14,540,65536,0,3,122
654398013,1126.5918,28.848776,0,14,540,65536,0,3,122
655398996,1152.0,28.762169,0,14,2429,65536,0,3,122
656399989,1181.0977,28.769644,0,14,540,65536,0,3,122
657401438,1208.4648,28.735304,0,14,590,65536,0,3,122
658402115,1235.7178,28.700424,0,14,590,65536,0,3,122
659403175,1263.0195,28.667986,0,14,540,65536,0,3,122
660404366,1290.3379,28.637276,0,14,590,65536,0,3,122
661404977,1317.5908,28.60684,0,14,590,65536,0,3,122
662406032,1344.0,28.5595,0,14,1504,65536,0,3,122
663407026,1372.2109,28.551657,0,14,640,65536,0,3,122
664408088,1399.4639,28.524569,0,14,686,65536,0,3,122
665409030,1426.7656,28.499603,0,14,636,65536,0,3,122
666409991,1454.1328,28.476892,0,14,686,65536,0,3,122
