timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
615353198,-0.339397,-0.010504865,-0.0015657494,0.9405833,0.0039050302,0.002339298,-0.018490734,-0.2814185,0.1926115,-2.906757,0.000100828205,-6.0810776e-06,-6.024493e-06,0.0,0.0,0.0013033629,0.19347036,-0.026797118,0.96471006,0.0,0.0,0.0,0.0,0.0,3.3254188e-10,8.286637e-06,0.00015234528,3.3405537e-05,3.6606054e-06,3.664004e-06,4.2926345e-06,0.01080596,0.010805857,0.011682177,0.10925327,0.10925327,0.15958267,1.9683513e-11,1.9678066e-11,3.3527535e-11,0.0,0.0,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016611522,0.0075039775,0.01784,67109399,0.46744683,0.399478,0.0079027545,0.03401697,0.0110965315,0.0110965315,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
615363196,-0.33940244,-0.0105037615,-0.0015703406,0.9405813,0.0040302966,0.0021765784,-0.018581249,-0.28137884,0.19263408,-2.9069424,0.000100828205,-6.0810776e-06,-6.024493e-06,0.0,0.0,0.0013033629,0.19347036,-0.026797118,0.96471006,0.0,0.0,0.0,0.0,0.0,3.531456e-10,8.959858e-06,0.00018719514,3.343029e-05,3.6702932e-06,3.673693e-06,4.295995e-06,0.010871307,0.010871204,0.011724635,0.10959979,0.10959979,0.16014282,1.9693514e-11,1.9688067e-11,3.3537534e-11,0.0,0.0,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016439958,0.0071951947,0.01720629,67109399,0.46818754,0.4001785,0.0079027545,0.03401697,0.0110965315,0.0110965315,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
615553162,-0.33904448,-0.010549907,-0.0015729617,0.94070995,0.01077913,-0.0038024313,-0.030023294,-0.29203433,0.18935579,-2.9181914,0.00010084536,-6.011183e-06,-6.012138e-06,0.0,0.0,0.0013076366,0.19347036,-0.026797118,0.96471006,0.0,0.0,0.0,0.0,0.0,2.5065807e-08,0.000102614336,0.0029907506,3.3463246e-05,3.6723118e-06,3.6758076e-06,4.2909546e-06,0.010897977,0.010897898,0.011713052,0.1094683,0.1094683,0.15931544,1.9695e-11,1.9689543e-11,3.354746e-11,0.0,0.0,5.0000093e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001593718,0.007180656,0.016477434,535,0.46790662,0.39914337,0.010782453,0.02880346,0.010929784,0.010929784,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
615753127,-0.33931035,-0.0099672,-0.0017712485,0.94062,-0.001450907,0.0044231433,-0.01914269,-0.298434,0.20288028,-2.9206526,0.00010093937,-6.048442e-06,-5.969996e-06,0.0,0.0,0.0013089944,0.19347036,-0.026797118,0.96471006,0.0,0.0,0.0,0.0,0.0,2.2455716e-08,0.00012539778,0.0048299236,3.344844e-05,3.6453864e-06,3.6484255e-06,4.298908e-06,0.010736862,0.01073676,0.011622481,0.109085634,0.10908564,0.15838572,1.9666168e-11,1.9660688e-11,3.354486e-11,0.0,0.0,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026340003,0.008683813,0.015388382,535,0.46708807,0.39797705,0.025861384,0.04030555,0.008416184,0.008416184,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
615953094,-0.33910924,-0.009785395,-0.0017184106,0.9406945,-0.0010432932,0.0040729833,-0.020850452,-0.29844472,0.19958845,-2.922677,0.00010089806,-6.0345583e-06,-5.924464e-06,0.0,0.0,0.0013105224,0.19347036,-0.026797118,0.96471006,0.0,0.0,0.0,0.0,0.0,2.5241638e-08,0.00017966256,0.006217156,3.344503e-05,3.6293636e-06,3.6322656e-06,4.2951942e-06,0.010638265,0.010638176,0.0116174305,0.1088054,0.10880541,0.15961121,1.9649369e-11,1.9643877e-11,3.3542284e-11,0.0,0.0,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002585861,0.0020801006,0.0031826484,535,0.46648774,0.39951372,0.023798352,0.017369261,0.006415728,0.006415728,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
616153062,-0.33901703,-0.009812616,-0.0018335433,0.94072735,0.0040183915,0.0040027313,-0.01782078,-0.29616195,0.20499046,-2.9247153,0.00010090476,-6.0751527e-06,-5.8777973e-06,0.0,0.0,0.0013106338,0.19347036,-0.026797118,0.96471006,0.0,0.0,0.0,0.0,0.0,2.7464594e-08,0.0002256809,0.0074796886,3.3438755e-05,3.6212193e-06,3.624104e-06,4.2942643e-06,0.010581895,0.010581806,0.011569892,0.10861366,0.10861367,0.15886796,1.9641013e-11,1.9635508e-11,3.353971e-11,0.0,0.0,5.0000093e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028340006,0.0036504667,0.007510497,535,0.46607655,0.39858243,0.017976047,0.013773776,0.0052242065,0.0052242065,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
616353023,-0.33904052,-0.009857778,-0.0017116597,0.94071865,0.0033617583,0.0076632723,-0.028278427,-0.3000697,0.2055344,-2.9296658,0.000100914534,-6.04899e-06,-5.844777e-06,0.0,0.0,0.0013110879,0.19347036,-0.026797118,0.96471006,0.0,0.0,0.0,0.0,0.0,2.6015035e-08,0.00023755536,0.0073423893,3.3430097e-05,3.64916e-06,3.652111e-06,4.2957345e-06,0.010765111,0.010765025,0.011645575,0.10901295,0.109012954,0.15882894,1.9669988e-11,1.9664497e-11,3.353718e-11,0.0,0.0,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021928886,0.00042853577,0.002543669,535,0.46693242,0.3985335,0.009614876,0.012394257,0.0055776434,0.0055776434,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
616552987,-0.3389331,-0.009173054,-0.0017103464,0.9407643,0.0039969627,0.0017263547,-0.032689836,-0.29988307,0.20431449,-2.9290938,0.000100895864,-6.0391653e-06,-5.798581e-06,0.0,0.0,0.0013100484,0.19347036,-0.026797118,0.96471006,0.0,0.0,0.0,0.0,0.0,9.7829464e-08,0.00046585925,0.013095759,3.3424607e-05,3.627806e-06,3.630283e-06,4.294339e-06,0.010639881,0.010639798,0.011628152,0.108675234,0.10867524,0.15999958,1.96474e-11,1.9641892e-11,3.3534595e-11,0.0,0.0,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023614238,0.0029929923,0.007770434,535,0.46620864,0.39999947,0.012956652,0.0087351585,0.0038499115,0.0038499115,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
616752952,-0.33858356,-0.0077336216,-0.0019234861,0.94090265,0.004962386,-0.0006753794,-0.028852763,-0.30064937,0.19792363,-2.9215581,0.000100856196,-6.002129e-06,-5.7634707e-06,0.0,0.0,0.0013045002,0.19347036,-0.026797118,0.96471006,0.0,0.0,0.0,0.0,0.0,1.381097e-07,0.0006302987,0.018837858,3.3426193e-05,3.6289293e-06,3.6305025e-06,4.286322e-06,0.010647068,0.010646991,0.0116144605,0.10865076,0.108650774,0.15944928,1.9648387e-11,1.9642878e-11,3.3532038e-11,0.0,0.0,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002678643,0.007910886,0.017351037,535,0.46615613,0.399311,0.0111538265,0.031797655,0.0038804521,0.0038804521,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
616952917,-0.33814412,-0.0066002533,-0.0027465466,0.9410673,0.020703962,-0.005273771,-0.041549683,-0.2996639,0.19676594,-2.9277818,0.000100855796,-6.002045e-06,-5.7430407e-06,0.0,0.0,0.0013047284,0.19347036,-0.026797118,0.96471006,0.0,0.0,0.0,0.0,0.0,1.47705e-07,0.00075697416,0.026667424,3.343022e-05,3.824098e-06,3.824935e-06,4.2754327e-06,0.012002459,0.012002419,0.012206373,0.115981124,0.11598114,0.16234963,1.984831e-11,1.9842879e-11,3.352954e-11,0.0,0.0,5.0000086e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019476392,0.0042549856,0.010097856,535,0.4816246,0.40292633,0.00016858557,0.031797655,0.0038804521,0.0038804521,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
