timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
615357153,615356948,-8.583661e-05,0.0003587855,-0.00015746545
615358414,615358202,-9.0697904e-05,0.00041142333,-7.391581e-05
615379652,615379443,-0.012316384,-0.017000267,-0.068500176
615400892,615400690,0.014275879,0.017488126,0.10625294
615418393,615418186,-0.021562226,-0.00365123,-0.106591806
615438388,615438182,0.00024969183,-0.010387538,0.017334782
615459641,615459429,-0.005236781,0.006792341,0.073822334
615477136,615476926,-0.015509338,-0.00043109147,0.0048565017
615498380,615498174,0.007747699,-0.00369676,-0.07439609
615519622,615519418,-0.014971098,-0.0033415474,-0.008838507
615540864,615540664,0.005879598,0.009342082,0.041662715
615558367,615558161,0.015630595,-0.00072395906,0.029869178
615578363,615578157,-0.017576778,-0.015336281,-0.023811629
615599622,615599408,-0.0056978315,-0.0073978878,-0.03037831
615617103,615616901,-0.0010895168,-0.011155698,0.0059369295
615638353,615638147,-0.004652181,-0.0065805377,0.021561323
615659599,615659393,-0.006757078,-0.004114157,-0.0053086625
615680846,615680643,-0.005197672,-0.0048757745,-0.023051636
615698342,615698136,0.002884485,-0.00078669115,-0.01816142
615718388,615718181,0.0020805737,-0.0007503176,0.01038668
615739590,615739383,0.014401355,-0.007735167,0.014487991
615757087,615756879,0.0028286015,0.004755394,-0.0004699222
615778369,615778159,-0.003775424,0.00945028,-0.009424312
615799604,615799402,0.0041731764,0.0041428125,0.0022058133
615820817,615820616,0.000117448224,-4.5228397e-05,0.012581463
615838356,615838138,0.0030081223,0.014513025,0.008274917
615858329,615858110,-0.0010747015,0.017957056,0.002255782
615879560,615879357,-0.0060537374,0.017935243,-0.007646756
615897056,615896852,-0.0017271948,0.021217268,-0.011547472
615918305,615918098,0.0033337912,0.014133588,0.0035136414
615939550,615939345,-0.007604649,0.016432578,-0.0017979066
615960795,615960590,-0.0030506523,0.01939915,-0.013571825
615978293,615978088,-9.7673474e-05,-0.0028498846,-0.0038748889
615998290,615998084,-0.0024718724,-0.015001923,0.0041437144
616019540,616019332,0.0012787444,-0.007262845,0.0021994556
616037034,616036828,0.00021783805,-0.024326494,0.00861592
616058279,616058074,-0.001421333,-0.02268941,0.008939208
616079527,616079320,0.010824502,-0.018855153,0.0059122895
616100772,616100566,0.00501533,-0.011186987,0.0071621635
616118275,616118065,0.006203602,-0.010939763,0.012473682
616138272,616138066,0.008473125,-0.008012112,-0.00017209048
616159559,616159349,0.008077692,-0.0039149732,-0.0024395068
616177018,616176803,0.0023323712,0.0026751237,0.0015165166
616198310,616198100,0.004108355,0.00059607683,-0.0030373263
616219499,616219296,0.0059722876,-0.00593075,-0.007030464
616240756,616240542,0.002840303,-0.009306916,-0.0013144058
616258253,616258050,0.002018296,-0.008784552,-0.003554417
