timestamp,main_state
615220704,10
615722329,10
616228197,10
616737103,10
617247087,10
617747158,10
618258324,10
618766092,10
619098506,2
619607084,2
620115241,2
620621118,2
621128087,2
621634233,2
622141205,2
622649088,2
623159119,2
623669152,2
624170085,2
624678234,2
625184500,2
625691161,2
626198089,2
626704208,2
627211160,2
627717146,2
628223086,2
628733151,2
629233160,2
629744240,2
630255175,2
630761177,2
631267201,2
631773151,2
632280089,2
632787119,2
633293096,2
633799211,2
634308129,2
634817173,2
635325840,2
635832084,2
636341365,2
636848127,2
637354227,2
637861162,2
638368320,2
638875152,2
639385606,2
639885674,2
640396179,2
640896246,2
641405339,2
641912168,2
642421212,2
642930087,2
643439087,2
643945200,2
644452324,2
644958087,2
645467085,2
645967124,2
646467247,2
646975121,2
647482085,2
647989085,2
648496124,2
649002083,2
649508082,2
650014183,2
650520097,2
651029144,2
651539086,2
652039092,2
652546084,2
653053087,2
653560085,2
654067410,2
654573085,2
655079179,2
655586082,2
656095168,2
656607180,2
657118138,2
657627275,2
658136605,2
658643181,2
659149175,2
659655168,2
660162111,2
660668083,2
661174264,2
661684405,2
662192085,2
662702083,2
663210222,2
663719083,2
664226104,2
664732256,2
665239164,2
665748225,2
666258084,2
666769625,2
667280086,2
667788084,2
668295290,2
668801181,2
669309120,2
669815150,2
670322214,2
670828154,2
671335127,2
671844511,2
672354963,2
672865162,2
673374322,2
673881085,2
674387084,2
674895196,2
675401289,2
675907088,2
676414184,2
676914328,2
677423353,2
677931082,2
678438100,2
678945255,2
679451088,2
679957861,2
680463085,2
680969086,2
681469154,2
681979142,2
682488086,2
682994185,2
683501275,2
684009162,2
684516515,2
685023084,2
685529270,2
686037082,2
686546419,2
687057129,2
687565965,2
688073237,2
688580085,2
689086112,2
689593218,2
690101085,2
690601143,2
691112089,2
691623084,2
692133085,2
692643114,2
693153247,2
693661214,2
694167404,2
694674186,2
695182145,2
695691245,2
696202128,2
696712085,2
697219224,2
697726084,2
698233084,2
698739107,2
699246144,2
699753212,2
700263118,2
700773389,2
701283264,2
701792162,2
702299273,2
702805121,2
703314331,2
703821166,2
704327259,2
704835248,2
705345083,2
705852172,2
706359314,2
706867082,2
707374409,2
707880183,2
708386896,2
708894416,2
709406040,2
709916361,2
710423089,2
710931084,2
711438122,2
711944218,2
712452144,2
712963145,2
713473189,2
713985348,2
714492084,2
714999669,2
715506195,2
716013159,2
716519227,2
717025087,2
717533549,2
718044395,2
718555086,2
719064365,2
719572086,2
720081122,2
720588493,2
721094277,2
721600085,2
722110084,2
722618086,2
723125087,2
723632088,2
724139366,2
724646086,2
725152084,2
725658148,2
726167127,2
726667450,2
727176588,2
727683089,2
728191102,2
728699086,2
729206311,2
729712082,2
730221189,2
730731100,2
731241304,2
731748346,2
732257363,2
732765848,2
733271167,2
733780086,2
734280208,2
734791084,2
735302085,2
735809439,2
736319144,2
736826207,2
737333084,2
737840084,2
738349084,2
738849119,2
739349310,2
739856153,2
740364363,2
740870242,2
741377087,2
741883118,2
742390088,2
742890266,2
743399085,2
743908322,2
744414351,2
744921083,2
745427795,2
745933119,2
746442084,2
746942120,2
747442403,2
747949086,2
748456418,2
748963142,2
749469340,2
749977086,2
750486716,2
750997083,2
751506247,2
752013145,2
752520082,2
753026157,2
753532096,2
754041084,2
754551177,2
755062084,2
755571084,2
756078081,2
756588137,2
757098171,2
757604411,2
758110271,2
758621090,2
759131083,2
759638197,2
760145083,2
760653511,2
761159196,2
761665250,2
762171165,2
762681092,2
763189084,2
763696084,2
764203084,2
764710104,2
765216083,2
765722084,2
766231516,2
766742091,2
767242292,2
767749148,2
768256562,2
768762120,2
769268158,2
769775093,2
770286156,2
770796325,2
771303084,2
771811196,2
772318117,2
772824227,2
773332119,2
773835239,2
774346084,2
774856192,2
775366083,2
775872125,2
776379089,2
776885087,2
777391084,2
777901116,2
778409363,2
778909371,2
779417092,2
779923181,2
780429180,2
780936198,2
781448811,2
781958771,2
782467941,2
782976149,2
783483109,2
783990086,2
784496122,2
785003087,2
785513117,2
786023083,2
786531150,2
787038226,2
787545096,2
788052085,2
788559126,2
789068137,2
789575844,2
790082121,2
790589084,2
791096083,2
791602084,2
792111108,2
792622082,2
793133083,2
793643100,2
794153112,2
794660165,2
795166087,2
795672402,2
796180084,2
796687189,2
797198413,2
797708108,2
798215330,2
798721085,2
799228095,2
799735083,2
800245085,2
800755137,2
801262216,2
801771083,2
802278086,2
802785272,2
803291725,2
803802161,2
804303208,2
804811318,2
805318225,2
805824488,2
806330238,2
806836281,2
807345988,2
807852097,2
808358144,2
808866127,2
809373150,2
809880082,2
810389084,2
810896087,2
811407085,2
811915236,2
812422084,2
812928083,2
813435116,2
813941082,2
814450172,2
814957264,2
815465164,2
815971085,2
816478334,2
816985258,2
817491244,2
817999211,2
818509118,2
819016175,2
819523243,2
820030122,2
820536252,2
821044195,2
821551602,2
822062102,2
822568150,2
823076469,2
823583239,2
824090958,2
824596838,2
825103100,2
825611373,2
826118085,2
826625602,2
827132178,2
827639202,2
828149107,2
828649565,2
829160614,2
829669267,2
830177085,2
830687114,2
831196191,2
831702214,2
832211083,2
832720177,2
833227085,2
833734316,2
834241119,2
834748950,2
835254220,2
835763117,2
836273083,2
836780140,2
837288104,2
837794301,2
838301083,2
838808081,2
839318086,2
839827056,2
840335115,2
840842084,2
841350206,2
841856237,2
842362086,2
842872085,2
843372215,2
843879147,2
844387185,2
844893083,2
845400149,2
845910085,2
846410116,2
846918082,2
847426125,2
847934730,2
848441181,2
848948635,2
849455156,2
849965200,2
850466084,2
850972323,2
851478131,2
851985135,2
852491463,2
852998109,2
853508123,2
854008203,2
854514597,2
855021152,2
855472179,2
855979083,2
856487464,2
856997085,2
857504187,2
858013180,2
858521200,2
859027150,2
859533089,2
860043105,2
860488322,2
860989194,2
