timestamp,load,ram_usage
614856175,0.40770376,0.40998223
615358143,0.5292631,0.5482184
615856122,0.51754797,0.5383636
616356097,0.4674555,0.5383636
616856080,0.4529112,0.5383636
617356133,0.45791912,0.5395368
617856097,0.4714026,0.5395368
618356080,0.45233136,0.5395368
618856231,0.46414202,0.5395368
619356079,0.4516769,0.5395368
619856115,0.45059007,0.5395368
620356111,0.45153195,0.5395368
620856079,0.461694,0.5395368
621356307,0.44681197,0.5395368
621856212,0.45965374,0.5395368
622356079,0.45555317,0.5395368
622856308,0.4608987,0.5395368
623356081,0.4555707,0.5395368
623856104,0.45604795,0.5395368
624356115,0.45397872,0.5395368
624856079,0.46278435,0.5395368
625356080,0.4481209,0.5395368
625856079,0.46085602,0.5395368
626356084,0.44618845,0.5395368
626856080,0.45678365,0.5395368
627356078,0.44776,0.5395368
627856080,0.45602417,0.5395368
628356082,0.4541269,0.5395368
628856998,0.44861233,0.5395368
629357712,0.44820398,0.5395368
629856891,0.44513,0.5395368
630357617,0.44763792,0.5395368
630856522,0.44869733,0.5395368
631357211,0.45254838,0.5395368
631856543,0.4638027,0.5395368
632356219,0.45748812,0.5395368
632856423,0.46061754,0.5395368
633356456,0.46109128,0.5395368
633856106,0.4622845,0.5395368
634356505,0.46367693,0.5395368
634856095,0.46525657,0.5395368
635356519,0.44969064,0.5395368
635856193,0.45969683,0.5395368
636356466,0.45579207,0.5395368
636856173,0.4506119,0.5395368
637356300,0.46058023,0.5395368
637856115,0.47874367,0.5395368
638356236,0.44382244,0.5395368
638856080,0.46185303,0.5395368
639356079,0.45942402,0.5395368
639856079,0.60561204,0.5395368
640356138,0.7197025,0.5395368
640856092,0.60518944,0.5395368
641356079,0.46374315,0.5395368
641856086,0.45668268,0.5395368
642356084,0.4499427,0.5395368
642856465,0.47144264,0.5395368
643356168,0.45045286,0.5395368
643856189,0.4523499,0.5395368
644356081,0.45603943,0.5395368
644856079,0.45228493,0.5395368
645356081,0.4567222,0.5395368
645856142,0.46582508,0.5395368
646356082,0.4545229,0.5395368
646856131,0.4565782,0.5395368
647356186,0.45488614,0.5395368
647856082,0.4622932,0.5395368
648356160,0.4478807,0.5395368
648856082,0.47396696,0.5395368
649356220,0.4593742,0.5395368
649856258,0.46716768,0.5395368
650356097,0.447778,0.5395368
650856098,0.45675415,0.5395368
651356082,0.45115554,0.5395368
651856113,0.45320588,0.5395368
652356143,0.45594192,0.5395368
652856114,0.45651388,0.5395368
653356079,0.45493913,0.5395368
653856080,0.46126693,0.5395368
654356081,0.45654708,0.5395368
654856105,0.4652627,0.5395368
655356088,0.46048564,0.5395368
655856081,0.46029645,0.5395368
656357496,0.45168972,0.5395368
656856649,0.46422935,0.5395368
657357437,0.45728981,0.5395368
657856856,0.46381962,0.5395368
658357500,0.45075148,0.5395368
658856336,0.45840317,0.5395368
659356363,0.45414037,0.5395368
659856488,0.44941348,0.5395368
660356236,0.45359117,0.5395368
660856248,0.47225386,0.5395368
661356081,0.4537816,0.5395368
661856116,0.4703591,0.5395368
662356085,0.44935834,0.5395368
662856393,0.45922256,0.5395368
663356254,0.45541716,0.5395368
663856098,0.4578743,0.5395368
664356291,0.45637167,0.5395368
664856116,0.44686282,0.5395368
665356079,0.45343202,0.5395368
665856079,0.4486829,0.5395368
666356080,0.45787215,0.5395368
666856080,0.45308,0.5395368
667356099,0.45165664,0.5395368
667856079,0.46176064,0.5395368
668356454,0.45691222,0.5395368
668856180,0.46202266,0.5395368
669356178,0.45409572,0.5395368
669856225,0.4614417,0.5395368
670356082,0.4503026,0.5395368
670856108,0.46106505,0.5395368
671356079,0.4642949,0.5395368
671856080,0.45301312,0.5395368
672356081,0.45123202,0.5395368
672856078,0.46657896,0.5395368
673356078,0.45148402,0.5395368
673856121,0.4528942,0.5395368
674356109,0.45975226,0.5395368
674856080,0.4551953,0.5395368
675356188,0.4504918,0.5395368
675856122,0.454951,0.5395368
676356095,0.44926047,0.5395368
676856176,0.45210958,0.5395368
677356083,0.4579811,0.5395368
677856078,0.45198274,0.5395368
678356079,0.45033598,0.5395368
678856146,0.45750362,0.5395368
679356081,0.44664603,0.5395368
679856080,0.46041107,0.5395368
680356112,0.44197178,0.5395368
680856078,0.47161,0.5395368
681357806,0.4518593,0.5395368
681856851,0.44953048,0.5395368
682357562,0.44749707,0.5395368
682856841,0.45898998,0.5395368
683357261,0.44870567,0.5395368
683856568,0.4598825,0.5395368
684357023,0.4509135,0.5395368
684856303,0.46149874,0.5395368
685356199,0.45392042,0.5395368
685856115,0.45919514,0.5395368
686356115,0.45219368,0.5395368
686856081,0.46195495,0.5395368
687356197,0.44882405,0.5395368
687856148,0.46017432,0.5395368
688356379,0.45633298,0.5395368
688856176,0.46114355,0.5395368
689356420,0.45166337,0.5395368
689856082,0.45803565,0.5395368
690356084,0.448344,0.5395368
690856078,0.46390802,0.5395368
691356080,0.4535491,0.5395368
691856174,0.4549396,0.5395368
692356157,0.44738746,0.5395368
692856231,0.4646173,0.5395368
693356204,0.4512465,0.5395368
693856094,0.47067046,0.5395368
694356079,0.44511557,0.5395368
694856079,0.45852894,0.5395368
695356079,0.456102,0.5395368
695856175,0.46129036,0.5395368
696356079,0.4562407,0.5395368
696856080,0.45883816,0.5395368
697356080,0.4517678,0.5395368
697856110,0.46175402,0.5395368
698356080,0.46148217,0.5395368
698856215,0.46501738,0.5395368
699356157,0.46246272,0.5395368
699856116,0.45800936,0.5395368
700356133,0.45183533,0.5395368
700856140,0.46530783,0.5395368
701356081,0.44661582,0.5395368
701856080,0.463246,0.5395368
702356157,0.46190685,0.5395368
702856156,0.4562946,0.5395368
703356079,0.45481873,0.5395368
703856078,0.454414,0.5395368
704357981,0.4602651,0.5395368
704856799,0.4641592,0.5395368
705356759,0.45701128,0.5395368
705856691,0.5568613,0.5395368
706356599,0.65379965,0.5395368
706856899,0.68930465,0.5395368
707356983,0.71430683,0.5395368
707856087,0.5721029,0.5395368
708357000,0.4585353,0.5395368
708856151,0.45519823,0.5395368
709356791,0.45365858,0.5395368
709856316,0.45263964,0.5395368
710356300,0.44217944,0.5395368
710856113,0.4554646,0.5395368
711356082,0.464288,0.5395368
711856081,0.4592529,0.5395368
712356082,0.45641088,0.5395368
712856080,0.46272397,0.5395368
713356141,0.4458751,0.5395368
713856199,0.46447718,0.5395368
714356078,0.45424706,0.5395368
714856080,0.46625412,0.5395368
715356173,0.45085502,0.5395368
715856134,0.4712577,0.5395368
716356138,0.4548602,0.5395368
716856103,0.45875674,0.5395368
717356081,0.45356613,0.5395368
717856086,0.46653336,0.5395368
718356088,0.4559182,0.5395368
718856160,0.45764506,0.5395368
719356113,0.44910753,0.5395368
719856110,0.5786685,0.5395368
720356081,0.45505017,0.5395368
720856243,0.462951,0.5395368
