timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
615353198,-0.0072265207,-0.03627049,0.08851069,0.09903756,-0.02942653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.08879852,0.0,0.0,nan,0.0,0.0,0.006169319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615363196,-0.0072265207,-0.03627049,0.08851069,0.09903756,-0.02942653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.08879852,0.0,0.0,nan,0.0,0.0,0.006169319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615553162,0.05091701,0.025676876,0.07381329,0.09754714,-0.0134073645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.122737885,0.0,0.0,nan,0.0,0.0,0.008417368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615753127,0.020337615,-0.06539269,0.031525083,0.07507181,-0.03521067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.04250717,0.0,0.0,nan,0.0,0.0,0.020188808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615953094,-0.011705906,0.028394,0.037893593,0.05722189,-0.020222843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.102890015,0.0,0.0,nan,0.0,0.0,0.018578291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616153062,-0.020013563,-0.022764735,0.010519041,0.04656759,-0.024289295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.0849762,0.0,0.0,nan,0.0,0.0,0.014033079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616353023,0.022662397,0.008243901,0.0122402515,0.04972425,-0.027519435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.090286255,0.0,0.0,nan,0.0,0.0,0.0075058937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616552987,-0.0031766812,0.014204013,-0.003906315,0.0343197,-0.027257979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.32614136,0.0,0.0,nan,0.0,0.0,0.01011467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616752952,0.0024053585,0.04151795,-0.07877737,0.03457278,-0.020026445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.054691315,0.0,0.0,nan,0.0,0.0,0.008707285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616952917,0.0024053585,0.04151795,-0.07877737,0.03457278,-0.020026445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.12191391,0.0,0.0,nan,0.0,0.0,0.00013160706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617152883,0.03159749,0.014334213,-0.09638284,0.023608327,-0.02031812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.23048401,0.0,0.0,nan,0.0,0.0,-0.009365559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617352847,-0.052506827,-0.01397733,-0.018099014,-0.005152464,-0.022260591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.073013306,0.0,0.0,nan,0.0,0.0,-0.004438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617552813,-0.026150852,-0.012070062,-0.043802142,-0.0007996559,-0.01702708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.10342789,0.0,0.0,nan,0.0,0.0,-0.003891945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617752778,-0.16151848,0.041693315,-0.31854865,-0.024153799,-0.021790475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.2170639,0.0,0.0,nan,0.0,0.0,-0.031440258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617952748,-0.15309599,-0.02415869,-0.3299927,-0.0499039,-0.019154474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.14037704,0.0,0.0,nan,0.0,0.0,-0.043454647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618152708,-0.06901931,-0.07239977,-0.3073357,-0.047191113,-0.027407095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.12991333,0.0,0.0,nan,0.0,0.0,-0.0681541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618352673,-0.09465304,-0.08379841,-0.3330775,-0.07482745,-0.009331256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.1613388,0.0,0.0,nan,0.0,0.0,-0.037454605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618552638,0.01828513,0.026592672,-0.5288101,-0.06523611,-0.0016175061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.047740936,0.0,0.0,nan,0.0,0.0,-0.00580287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618752606,0.031119041,-0.10037474,-0.48469,-0.09377012,0.0028674155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.30897522,0.0,0.0,nan,0.0,0.0,0.032761335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618952568,0.1821792,-0.04407228,-0.77825946,-0.062814295,0.012167573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.3570671,0.0,0.0,nan,0.0,0.0,0.06218648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619152533,0.02010516,0.08683453,-0.90276015,-0.09844233,0.038218796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.36543655,0.0,0.0,nan,0.0,0.0,0.116307974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619352507,0.019268677,0.0061038923,-0.92411584,-0.10477562,0.028137878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.3639183,0.0,0.0,nan,0.0,0.0,0.14918351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619552463,0.13911691,0.15201499,-0.8154816,-0.107127264,0.056376323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.29577637,0.0,0.0,nan,0.0,0.0,0.20408297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
