timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
615338292,615318152,3997730,64.89008,40.62,100548.0,1.1946765
615388708,615370904,3997730,64.87159,40.62,100548.25,1.1946795
615549310,615531692,3997730,64.808174,40.62,100549.0,1.1946884
615710058,615692448,3997730,64.89008,40.62,100548.0,1.1946765
615931078,615908418,3997730,64.78703,40.62,100549.25,1.1946914
616142218,616121881,3997730,64.99577,40.62,100546.75,1.1946617
616353110,616335409,3997730,64.681335,40.629997,100550.5,1.1947063
616534117,616503655,3997730,64.99313,40.62,100546.8,1.1946623
616744956,616724801,3997730,64.89008,40.62,100548.0,1.1946765
616955918,616938263,3997730,64.76589,40.629997,100549.5,1.1946944
617116694,617098995,3997730,64.87159,40.62,100548.25,1.1946795
617337731,617315107,3997730,65.05919,40.629997,100546.0,1.1946528
617548792,617528671,3997730,64.93236,40.629997,100547.5,1.1946707
617759846,617742213,3997730,64.89008,40.629997,100548.0,1.1946765
617920645,617902974,3997730,64.78703,40.629997,100549.25,1.1946914
618141861,618118990,3997730,65.10147,40.629997,100545.49,1.1946467
618352610,618332405,3997730,64.89008,40.629997,100548.0,1.1946765
618513950,618493168,3997730,65.35249,40.629997,100542.5,1.1946112
618744473,618721816,3997730,65.51895,40.629997,100540.5,1.1945875
618955399,618935221,3997730,65.43704,40.629997,100541.5,1.1945994
619116057,619095918,3997730,65.812256,40.629997,100537.0,1.1945459
619327028,619309417,3997730,66.19011,40.64,100532.49,1.1944923
619548151,619525435,3997730,66.27466,40.64,100531.5,1.1944805
619709031,619686151,3997730,66.33807,40.64,100530.75,1.1944716
619919844,619899718,3997730,66.21124,40.64,100532.24,1.1944894
620130748,620113138,3997730,66.21124,40.64,100532.25,1.1944895
620351693,620329067,3997730,66.19011,40.64,100532.49,1.1944923
620512431,620489764,3997730,66.12933,40.64,100533.24,1.1945013
620723455,620703333,3997730,66.27466,40.64,100531.5,1.1944805
620934445,620916824,3997730,65.85453,40.64,100536.5,1.1945399
621155507,621132845,3997730,66.06327,40.64,100534.0,1.1945102
621316219,621293470,3997730,65.93909,40.64,100535.5,1.1945281
621527181,621506988,3997730,65.917946,40.64,100535.74,1.194531
621738206,621720548,3997730,65.896805,40.64,100536.0,1.194534
621959250,621936619,3997730,65.83339,40.649998,100536.75,1.1945429
622120076,622097435,3997730,65.60351,40.64,100539.5,1.1945755
622331119,622310896,3997730,65.75148,40.64,100537.74,1.1945547
622542013,622524373,3997730,65.93909,40.64,100535.5,1.1945281
622722974,622692678,3997730,65.46082,40.64,100541.195,1.1945957
622933903,622913783,3997730,65.28907,40.649998,100543.25,1.1946201
623144966,623127293,3997730,65.582375,40.649998,100539.75,1.1945785
623305587,623287948,3997730,65.60351,40.649998,100539.5,1.1945755
