timestamp,voltage_v,rssi_v,free_memory_bytes,actuators[0],actuators[1],actuators[2],actuators[3],actuators[4],actuators[5],actuators[6],actuators[7],servos[0],servos[1],servos[2],servos[3],servos[4],servos[5],servos[6],servos[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_outputs_armed,status_override,status_rc_ok,status_rc_ppm,status_rc_dsm,status_rc_sbus,status_fmu_ok,status_raw_pwm,status_mixer_ok,status_arm_sync,status_init_ok,status_failsafe,status_safety_off,status_fmu_initialized,status_rc_st24,status_rc_sumd,alarm_vbatt_low,alarm_temperature,alarm_servo_current,alarm_acc_current,alarm_fmu_lost,alarm_rc_lost,alarm_pwm_error,alarm_vservo_fault,arming_io_arm_ok,arming_fmu_armed,arming_fmu_prearmed,arming_manual_override_ok,arming_failsafe_custom,arming_inair_restart_ok,arming_always_pwm_enable,arming_rc_handling_disabled,arming_lockdown,arming_force_failsafe,arming_termination_failsafe,arming_override_immediate
615268834,0.024,1.2320001,536,-10000,-9960,-10000,-9960,0,0,0,0,1075,1076,1075,1076,1500,1500,0,0,1501,1500,1006,1499,2000,1000,1501,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
616278575,0.021000002,1.5130001,536,-10000,-9960,-10000,-9960,0,0,0,0,1075,1076,1075,1076,1500,1500,0,0,1500,1500,1005,1500,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
617285156,0.024,1.5220001,536,-5928,-6192,-4517,-6251,0,0,0,0,1252,1241,1314,1236,1500,1500,0,0,1500,1502,1005,1499,2000,1000,1500,1501,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
618298553,0.026,1.5050001,536,-5383,-6214,-402,-6386,0,0,0,0,1227,1240,1494,1232,1500,1500,0,0,1501,1480,1005,1499,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
619315564,0.021000002,1.2420001,536,-7903,-7773,-2902,-8602,0,0,0,0,1166,1153,1385,1135,1500,1500,0,0,1501,1497,1031,1498,2000,1000,1501,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
620329332,0.019000001,1.256,536,-6183,-6441,-4372,-4476,0,0,0,0,1241,1230,1320,1316,1500,1500,0,0,1556,1405,1067,1498,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
621344589,0.024,1.5220001,536,-8065,-5375,-251,-7229,0,0,0,0,1159,1276,1501,1195,1500,1500,0,0,1568,1439,1194,1500,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
622351955,0.014,1.1910001,536,-5652,-8096,-2585,-5051,0,0,0,0,1264,1157,1398,1250,1500,1500,0,0,1680,1365,1193,1499,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
623367416,0.024,1.269,536,-5750,-7054,-1497,-4663,0,0,0,0,1260,1203,1407,1308,1500,1500,0,0,1444,1560,1363,1499,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
624379389,0.021000002,1.2370001,536,-5721,-7483,-134,-7010,0,0,0,0,1261,1184,1506,1205,1500,1500,0,0,1500,1502,1412,1498,2000,1000,1500,1501,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
