timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
615353198,0.0,-0.0,-2.4490294,0.0,-0.3394025,0.0,0.0,0.9406412,0.0,0.0,-0.001,0,0,0,0,0
615373194,0.0,-0.0,-2.4496582,0.0,-0.3391068,0.0,0.0,0.9407479,0.0,0.0,-0.001,0,0,0,0,0
615453180,0.0,-0.0,-2.4484925,0.0,-0.33965504,0.0,0.0,0.9405501,0.0,0.0,-0.001,0,0,0,0,0
615543164,0.0,-0.0,-2.448818,0.0,-0.33950198,0.0,0.0,0.94060534,0.0,0.0,-0.001,0,0,0,0,0
615653145,0.0,-0.0,-2.4487615,0.0,-0.33952853,0.0,0.0,0.94059575,0.0,0.0,-0.001,0,0,0,0,0
615753127,0.0,-0.0,-2.4489176,0.0,-0.33945507,0.0,0.0,0.94062227,0.0,0.0,-0.001,0,0,0,0,0
615853109,0.0,-0.0,-2.449109,0.0,-0.33936504,0.0,0.0,0.94065475,0.0,0.0,-0.001,0,0,0,0,0
615943094,0.0,-0.0,-2.4492245,0.0,-0.33931074,0.0,0.0,0.94067436,0.0,0.0,-0.001,0,0,0,0,0
616053075,0.0,-0.0,-2.449393,0.0,-0.3392315,0.0,0.0,0.9407029,0.0,0.0,-0.001,0,0,0,0,0
616143059,0.0,-0.0,-2.4494896,0.0,-0.33918607,0.0,0.0,0.94071937,0.0,0.0,-0.001,0,0,0,0,0
616253054,-8.842723e-05,-0.00033375132,-2.4490411,0.0,-0.339397,0.00017197644,1.5047857e-05,0.9406432,0.0,0.0,-0.001,0,0,0,0,0
616353023,0.0029395644,-0.0016382502,-2.4490411,0.0,-0.33939767,0.0002716643,0.001660548,0.94064146,0.0,0.0,-0.019478539,0,0,0,0,0
616453006,0.0023306357,-0.001311756,-2.4490411,0.0,-0.3393974,0.00022144154,0.0013187507,0.9406421,0.0,0.0,-0.032528214,0,0,0,0,0
616552987,0.007555119,-0.00070608367,-2.4490411,0.0,-0.33939582,-0.00095000525,0.0036731476,0.94063604,0.0,0.0,-0.051127225,0,0,0,0,0
616652969,0.0016955857,-0.0042830245,-2.4490411,0.0,-0.3393978,0.0017266591,0.0015242908,0.94064015,0.0,0.0,-0.06820181,0,0,0,0,0
616752952,-0.000845772,-0.0076350234,-2.4490411,0.0,-0.33939296,0.0037344324,0.0008978667,0.9406368,0.0,0.0,-0.08730516,0,0,0,0,0
616852934,0.0079515865,0.0047543715,-2.4490411,0.0,-0.3393845,-0.0035854287,0.0029329797,0.94063634,0.0,0.0,-0.1112565,0,0,0,0,0
616952917,0.0060834745,-0.001745232,-2.4490411,0.0,-0.3393978,-0.00021153799,0.0031573453,0.9406376,0.0,0.0,-0.13719565,0,0,0,0,0
617052907,0.0014331305,0.0025317995,-2.4490411,0.0,-0.33939576,-0.0014339592,0.00024438938,0.94064254,0.0,0.0,-0.16318916,0,0,0,0,0
617152883,-0.004261111,0.00346454,-2.4490411,0.0,-0.3393992,-0.00090634095,-0.0025920137,0.9406384,0.0,0.0,-0.1901057,0,0,0,0,0
617252865,0.018882995,0.0024895775,-2.4490411,0.0,-0.33937058,-0.0043752156,0.008458484,0.9406046,0.0,0.0,-0.21387689,0,0,0,0,0
617352847,0.018495332,0.010269524,-2.4490411,0.0,-0.33933333,-0.007968295,0.0069558755,0.9406067,0.0,0.0,-0.24473424,0,0,0,0,0
