timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
615353198,167894030,36.204817999999996,138.25291959999998,-0.27983886,0.18408813,-2.8936362,-0.039897293,0.04249571,0.0,0.0061675487,-0.0033848714,-0.012934135,-0.01116185,-0.038354572,0.054698005,-0.03981606,-0.0035868154,-0.015368213,0.03168165,-2.4490294,0.0009503523,48.948917,0.1,0.46744683,0.399478,0.14700958,0.10808412,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
615363196,167894030,36.204817999999996,138.25291959999998,-0.2801097,0.18446094,-2.8943343,-0.039897293,0.04249571,0.0,0.002932982,-0.0021459407,-0.011891352,-0.01070966,-0.038354572,0.054698005,-0.03981606,-0.6297016,0.21147655,0.25426853,-2.4490125,0.0009503523,48.948917,0.1,0.46818754,0.4001785,0.14745343,0.10828035,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
615453180,167894030,36.204817999999996,138.25291959999998,-0.28199935,0.18733583,-2.9006522,-0.039897293,0.04249571,0.0,0.00864594,-0.00433492,-0.015894646,-0.019597057,-0.038354572,0.054698005,-0.03981606,-0.0021917007,-0.2733427,0.4063457,-2.4484925,0.0009503523,48.948917,0.1,0.47504845,0.40129125,0.15148042,0.10944851,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
615553162,167894030,36.204817999999996,138.25291959999998,-0.284189,0.18955149,-2.9067864,-0.039897293,0.04249571,0.0,0.0063512577,0.001343259,-0.020164011,-0.027592495,-0.038354572,0.054698005,-0.03981606,0.77049035,-0.022304852,-0.095349334,-2.448432,0.0009503523,48.948917,0.1,0.46790662,0.39914337,0.14763427,0.10822686,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
615653145,167894030,36.204817999999996,138.25291959999998,-0.28874803,0.19014916,-2.9129734,-0.039897293,0.04249571,0.0,0.0038521055,-0.0020271302,-0.01503656,-0.025607472,-0.038354572,0.054698005,-0.03981606,-0.5036072,0.5988403,0.56021494,-2.4487615,0.0009503523,48.948917,0.1,0.47556603,0.40096173,0.15208499,0.10958736,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
615753127,167894030,36.204817999999996,138.25291959999998,-0.2920345,0.19107904,-2.9174302,-0.039897293,0.04249571,0.0,0.0076936167,-0.004245708,-0.023845008,-0.035297025,-0.038354572,0.054698005,-0.03981606,0.49622494,-1.2698706,0.39294386,-2.4489176,0.0009503523,48.948917,0.1,0.46708807,0.39797705,0.14653881,0.107807614,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
615853109,167894030,36.204817999999996,138.25291959999998,-0.29629377,0.19599994,-2.9212651,-0.039897293,0.04249571,0.0,0.0026656804,0.004749972,-0.021096546,-0.032646626,-0.038354572,0.054698005,-0.03981606,0.25815338,0.8571013,0.4846282,-2.449109,0.0009503523,48.948917,0.10318136,0.4746585,0.4024015,0.15103623,0.10947149,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
615953094,167894030,36.204817999999996,138.25291959999998,-0.2993756,0.19943391,-2.923741,-0.039897293,0.04249571,0.0,-0.002081004,0.0054943543,-0.02945501,-0.039654214,-0.038354572,0.054698005,-0.03981606,-0.36171243,1.1295894,-0.8696695,-2.4492955,0.0009503523,48.948917,0.10106397,0.46648774,0.39951372,0.14586446,0.10778418,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
616053075,167894030,36.204817999999996,138.25291959999998,-0.30143955,0.20076889,-2.927225,-0.039897293,0.04249571,0.0,0.00058903696,-0.0020676877,-0.025064252,-0.03500014,-0.038354572,0.054698005,-0.03981606,-0.8030369,-0.5257422,-1.3855143,-2.449393,0.0009503523,48.948917,0.102442265,0.4739989,0.40131754,0.15031098,0.109152585,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
616153062,167894030,36.204817999999996,138.25291959999998,-0.30240068,0.20213416,-2.9296691,-0.039897293,0.04249571,0.0,0.0059245103,0.0014667399,-0.02475103,-0.03333727,-0.038354572,0.054698005,-0.03981606,0.24316782,0.085768975,0.3639585,-2.449592,0.0009503523,48.948917,0.104953766,0.46607655,0.39858243,0.1454775,0.107563436,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
616253054,167894030,36.204817999999996,138.25291959999998,-0.3022456,0.20447367,-2.9323742,-0.039897293,0.04249571,0.0,0.0046510366,-0.0011303985,-0.024531605,-0.032073896,-0.038354572,0.054698005,-0.03981606,0.26584998,-0.97598636,0.22017269,-2.4497597,0.0009503523,48.948917,0.10523844,0.47355342,0.40036792,0.14994265,0.10892997,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
616353023,167894030,36.204817999999996,138.25291959999998,-0.3020042,0.20621815,-2.93482,-0.039897293,0.04249571,0.0,0.0016725897,0.005600816,-0.022062518,-0.028476829,-0.038354572,0.054698005,-0.03981606,-0.5219407,0.29333383,-0.12120027,-2.4497762,0.0009503523,48.948917,0.10515404,0.46693242,0.3985335,0.14673151,0.107914664,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
616453006,167894030,36.204817999999996,138.25291959999998,-0.30328822,0.20740886,-2.9375012,-0.039897293,0.04249571,0.0,-0.002005931,0.003132179,-0.03173133,-0.037205234,-0.038354572,0.054698005,-0.03981606,-0.5219817,1.0820984,-2.3292315,-2.450045,0.0009503523,48.948917,0.1060884,0.47451818,0.40032408,0.1511747,0.10927371,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
