timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
615355238,16.011606,16.357903,0.0,0.2388377,0.0,35.53628,0.907347,1.0147257,nan,4,4.0894756,4.0894756,4.0894756,4.0894756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
615364314,16.20118,16.35635,4.3364,0.31918207,0.0,35.547215,0.90674955,1.0148219,nan,4,4.0890875,4.0890875,4.0890875,4.0890875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
615654519,16.055355,16.302958,1.6994,2.1686494,0.0,35.962105,0.8862141,1.0181452,nan,4,4.0757394,4.0757394,4.0757394,4.0757394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
615954103,16.20118,16.290806,0.9376,1.8749166,0.0,36.089542,0.8815406,1.0189047,nan,4,4.0727015,4.0727015,4.0727015,4.0727015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
616254682,16.230345,16.279615,1.5236,1.7027924,0.0,36.213512,0.87723666,1.019605,nan,4,4.069904,4.069904,4.069904,4.069904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
616555031,16.20118,16.260063,3.5746,2.0393603,0.0,36.411385,0.8726385,1.0203543,nan,4,4.065016,4.065016,4.065016,4.065016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
616854110,15.807451,16.23587,5.7721,3.1673837,0.0,36.784157,0.8719142,1.0204723,nan,4,4.0589676,4.0589676,4.0589676,4.0589676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
617154772,16.084518,16.189917,9.493199,5.2399755,0.0,37.419674,0.868933,1.0209589,nan,4,4.047479,4.047479,4.047479,4.047479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
617454184,16.055355,16.13435,13.3608,8.255538,0.0,38.397648,0.86799747,1.0211116,nan,4,4.0335875,4.0335875,4.0335875,4.0335875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
617754677,15.457471,16.094213,9.1416,9.742971,0.0,39.380188,0.8711489,1.0205971,nan,4,4.0235534,4.0235534,4.0235534,4.0235534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
618054128,15.574131,16.00196,11.5442,10.584076,0.0,40.341904,0.8490465,1.0242158,nan,4,4.00049,4.00049,4.00049,4.00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
618354726,16.230345,15.996019,11.602799,11.168926,0.0,41.345104,0.85757476,1.0228165,nan,4,3.9990048,3.9990048,3.9990048,3.9990048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
618654361,16.244926,15.990029,10.8996,11.673565,0.0,42.36551,0.8632305,1.0218906,nan,4,3.9975073,3.9975073,3.9975073,3.9975073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
618954562,16.128267,15.986549,12.481799,12.256533,0.0,43.430798,0.8686598,1.0210034,nan,4,3.9966373,3.9966373,3.9966373,3.9966373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
619254308,16.244926,15.970771,10.4015,12.546089,0.0,44.520187,0.8670028,1.0212741,nan,4,3.9926927,3.9926927,3.9926927,3.9926927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
619554316,15.457471,15.99735,9.962,10.116394,0.0,45.09284,0.8704441,1.0207121,nan,4,3.9993374,3.9993374,3.9993374,3.9993374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
619854170,15.90953,15.943248,12.100901,12.757198,0.0,46.478428,0.8482259,1.0243508,nan,4,3.985812,3.985812,3.985812,3.985812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
620154414,15.647043,15.912668,10.665199,12.561298,0.0,47.513916,0.8383706,1.025973,nan,4,3.978167,3.978167,3.978167,3.978167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
620454106,16.099102,15.9425955,9.0244,11.59684,0.0,48.38347,0.8508771,1.0239152,nan,4,3.9856489,3.9856489,3.9856489,3.9856489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
620754425,16.055355,15.958972,10.0499,10.999914,0.0,49.236008,0.85885125,1.0226074,nan,4,3.989743,3.989743,3.989743,3.989743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
621054103,15.792869,15.97509,9.6104,10.410267,0.0,50.04222,0.86576253,1.0214767,nan,4,3.9937725,3.9937725,3.9937725,3.9937725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
621354101,16.60949,15.976492,10.665199,10.301666,0.0,50.890854,0.86729413,1.0212265,nan,4,3.994123,3.994123,3.994123,3.994123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
621654128,15.924111,15.9565115,9.1416,12.225676,0.0,52.123318,0.86606294,1.0214276,nan,4,3.9891279,3.9891279,3.9891279,3.9891279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
621954169,16.463665,15.970432,12.3646,10.883407,0.0,52.86469,0.86832124,1.0210587,nan,4,3.992608,3.992608,3.992608,3.992608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
