timestamp,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,_padding0[0],_padding0[1],_padding0[2],_padding0[3],_padding0[4],heartbeats[0].timestamp,heartbeats[0].system_id,heartbeats[0].component_id,heartbeats[0].type,heartbeats[0].state,heartbeats[0]._padding0[0],heartbeats[0]._padding0[1],heartbeats[0]._padding0[2],heartbeats[0]._padding0[3],heartbeats[1].timestamp,heartbeats[1].system_id,heartbeats[1].component_id,heartbeats[1].type,heartbeats[1].state,heartbeats[1]._padding0[0],heartbeats[1]._padding0[1],heartbeats[1]._padding0[2],heartbeats[1]._padding0[3],heartbeats[2].timestamp,heartbeats[2].system_id,heartbeats[2].component_id,heartbeats[2].type,heartbeats[2].state,heartbeats[2]._padding0[0],heartbeats[2]._padding0[1],heartbeats[2]._padding0[2],heartbeats[2]._padding0[3],heartbeats[3].timestamp,heartbeats[3].system_id,heartbeats[3].component_id,heartbeats[3].type,heartbeats[3].state,heartbeats[3]._padding0[0],heartbeats[3]._padding0[1],heartbeats[3]._padding0[2],heartbeats[3]._padding0[3]
258786937,1200.0,0.62888896,0.041830666,1.0756458,0.0,0,0,1,1,1,1,38,0,0,0,0,0,258777768,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259784597,1200.0,0.62888896,0.12948155,1.4800737,0.0,0,0,1,1,1,1,38,0,0,0,0,0,259778160,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260786140,1200.0,0.62888896,0.0419165,1.1057972,0.0,0,0,1,1,1,1,38,0,0,0,0,0,259778160,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260866124,1200.0,0.62888896,0.0419165,1.1057972,0.0,0,0,1,1,1,1,38,0,0,0,0,0,260864796,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261756389,1200.0,0.62888896,0.041586135,1.1980767,0.0,0,0,1,1,1,1,38,0,0,0,0,0,261753039,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262786237,1200.0,0.62888896,0.06799034,1.2238262,0.0,0,0,1,1,1,1,38,0,0,0,0,0,262781843,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263796297,1200.0,0.62888896,0.041590005,1.1764029,0.0,0,0,1,1,1,1,38,0,0,0,0,0,262781843,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264786466,1200.0,0.62888896,0.041581396,1.1464585,0.0,0,0,1,1,1,1,38,0,0,0,0,0,264783163,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265786108,1200.0,0.62888896,0.04158428,1.1693103,0.0,0,0,1,1,1,1,38,0,0,0,0,0,265784770,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266796166,1200.0,0.62888896,0.04158683,1.1119527,0.0,0,0,1,1,1,1,38,0,0,0,0,0,265784770,255,190,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
