timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
258842932,-0.12415571,0.119338654,1.0489031
258854188,-0.12119533,0.12224116,1.0489031
259045376,-0.11823494,0.11643614,1.0585097
259247834,-0.12119533,0.12224116,1.0521053
259450315,-0.115274556,0.119338654,1.0392964
259652740,-0.11823494,0.12224116,1.032892
259844014,-0.11823494,0.119338654,1.0489031
260046436,-0.115274556,0.119338654,1.0392964
260237673,-0.115274556,0.119338654,1.0585097
260440978,-0.11823494,0.119338654,1.0360942
260643470,-0.11823494,0.11643614,1.0489031
260845930,-0.115274556,0.110631116,1.0585097
261048367,-0.09751223,0.10192357,1.0521053
261250861,-0.10935379,0.14546129,1.0072743
261442054,-0.13599727,0.19480404,0.9400277
261644578,-0.14487843,0.22673169,0.8535679
261846971,-0.14783882,0.24124427,0.7735125
262049466,-0.15671997,0.22673169,0.72547925
262251959,-0.20112579,0.25575683,0.6390194
262443136,-0.2425712,0.27607444,0.5717729
262645596,-0.22184849,0.2673669,0.603795
262848030,-0.09455185,0.21221913,0.7062659
263050564,0.017942866,0.11353363,0.77991694
263242162,0.017942866,0.10192357,0.73828804
263444565,-0.050146036,0.2093166,0.6838504
263646663,-0.10047262,0.30219707,0.6198061
263849164,-0.16264075,0.3312222,0.5973906
264051682,-0.15375958,0.20351158,0.67104155
264242866,-0.10935379,0.06999591,0.72547925
264445285,-0.08271029,0.052580826,0.73828804
264636521,-0.08863108,0.1686814,0.6998615
264850273,-0.08567069,0.21221913,0.6870526
265041430,-0.08863108,0.2093166,0.69345707
265243947,-0.09455185,0.19480404,0.69345707
265446356,-0.091591455,0.17738895,0.7126703
265648820,-0.08863108,0.1686814,0.72547925
265851252,-0.10047262,0.049678314,0.75109696
266042548,-0.08863108,0.09031351,0.74469256
266245376,-0.10047262,0.24124427,0.7062659
266447802,-0.09751223,0.24124427,0.7126703
266650314,-0.091591455,0.072898425,0.7735125
266841475,-0.09455185,0.078703456,0.7735125
267044022,-0.115274556,0.23834175,0.72547925
267246053,-0.18928424,0.23253673,0.7126703
267448529,-0.18632385,0.07580094,0.7607036
267650943,-0.112314165,-0.03449461,0.795928
267842192,-0.08271029,0.032263223,0.8023324
268044651,-0.08863108,0.2093166,0.7607036
268247170,-0.091591455,0.37766245,0.67104155
268449586,-0.047185652,0.44151777,0.6614349
268640787,-0.020542167,0.32251468,0.7126703
268843298,0.00314093,0.13965626,0.7991302
269046093,-0.059027202,0.009043108,0.8183435
269248614,-0.10639339,-0.028689576,0.79272574
269451079,-0.053106423,0.07580094,0.7991302
269642245,-0.050146036,0.14255877,0.78311914
269844754,-0.044225264,0.15997386,0.7767147
270047163,-0.04126488,0.1483638,0.78311914
270249676,-0.03830449,0.13965626,0.78311914
270440847,-0.04126488,0.13675375,0.78311914
270643358,-0.04126488,0.13385123,0.7767147
270845822,-0.04126488,0.13094871,0.78311914
271048243,-0.035344105,0.12514369,0.77991694
271250749,-0.032383714,0.12224116,0.78311914
271441955,-0.035344105,0.09611855,0.79272574
271644400,-0.06494798,0.00033556522,0.795928
271847365,-0.044225264,0.009043108,0.80553466
272049318,-0.050146036,0.18029144,0.767108
272240526,-0.053106423,0.23253673,0.75750136
272443032,-0.056066815,0.13385123,0.7895236
272645513,-0.056066815,0.104826085,0.80553466
272847937,-0.061987583,0.104826085,0.80873686
273050440,-0.061987583,0.119338654,0.7895236
273241674,-0.067908354,0.12514369,0.78632134
273444088,-0.070868745,0.12514369,0.78311914
273646538,-0.073829144,0.1280462,0.78311914
273849044,-0.08271029,0.13385123,0.767108
274040213,-0.08271029,0.13965626,0.7639059
274242744,-0.08567069,0.13094871,0.7639059
274445137,-0.08863108,0.13385123,0.75750136
274647677,-0.08863108,0.14255877,0.7542992
274839723,-0.10343301,0.14546129,0.74469256
275042147,-0.09455185,0.14255877,0.7414903
275244712,-0.10047262,0.14546129,0.7414903
275447076,-0.112314165,0.1483638,0.72868145
275649644,-0.112314165,0.1512663,0.722277
275840751,-0.11823494,0.15416884,0.71907485
276043281,-0.12119533,0.15997386,0.7062659
276245708,-0.11823494,0.15997386,0.7062659
276448165,-0.12415571,0.15707135,0.69665927
276639371,-0.1300765,0.1715839,0.6838504
276841852,-0.13895765,0.21512164,0.6550305
277044316,-0.13599727,0.27317193,0.6262106
277246753,-0.1271161,0.13385123,0.69025487
277449287,-0.15671997,0.026458196,0.6838504
277640827,-0.15968037,0.09031351,0.66783935
277842940,-0.16264075,0.22092664,0.6262106
278045352,-0.17152192,0.25865933,0.5973906
278247888,-0.16856152,0.1686814,0.63581717
278439054,-0.112314165,0.119338654,0.648626
278641534,-0.10343301,0.17448644,0.6454238
278843999,-0.13895765,0.1512663,0.6294128
279046436,-0.1507992,0.11353363,0.6262106
279248974,-0.15671997,0.026458196,0.648626
279440117,-0.15968037,0.11353363,0.6166039
279642649,-0.16264075,0.20351158,0.5973906
279845039,-0.16856152,0.11353363,0.60699725
280047519,-0.16856152,0.1686814,0.60699725
280250012,-0.17744268,0.23543924,0.5717729
280453228,-0.1744823,0.17448644,0.61019945
280644082,-0.19224462,0.055483337,0.63581717
280846550,-0.27217507,0.078703456,0.58137953
281048973,-0.18928424,0.1280462,0.60699725
281240178,-0.08271029,0.16577889,0.6582327
281442656,-0.08271029,0.1483638,0.66783935
281645188,-0.15375958,0.14546129,0.63581717
281847349,-0.16856152,0.14255877,0.6390194
282038412,-0.16560113,0.14255877,0.6454238
282240910,-0.15968037,0.13675375,0.648626
282443425,-0.14783882,0.13385123,0.6582327
282645874,-0.13599727,0.13094871,0.66463715
282848314,-0.13599727,0.1280462,0.66783935
283050709,-0.10935379,0.110631116,0.6806482
283253173,-0.115274556,0.006140595,0.7062659
283444841,-0.1271161,0.072898425,0.69025487
283647255,-0.13303687,0.2296342,0.6518283
283838501,-0.13599727,0.23253673,0.6454238
284040926,-0.11823494,0.13675375,0.6838504
284243410,-0.11823494,0.10772859,0.677446
284445881,-0.10935379,0.10772859,0.6838504
284648368,-0.10935379,0.15997386,0.6870526
284850834,-0.07678952,0.11643614,0.69345707
285042034,-0.067908354,0.104826085,0.69345707
285244517,-0.10343301,0.11353363,0.6838504
285446931,-0.10639339,0.11643614,0.6838504
285638190,-0.10935379,0.087410994,0.6998615
285851662,-0.073829144,0.09611855,0.7030637
286042723,-0.070868745,0.11643614,0.69025487
286245699,-0.070868745,0.03516574,0.72547925
286447645,-0.056066815,0.040970765,0.722277
286638837,-0.067908354,0.16287638,0.69025487
286841316,-0.07974991,0.23543924,0.66783935
