timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
258850326,0.0,0.0,0.0,0.0
258851586,0.0,0.0,0.0,0.0
259051546,0.0,0.0,0.0,0.0
259254012,0.0,0.0,0.0,0.0
259453978,0.0,0.0,0.0,0.0
259652694,0.0,0.0,0.0,0.0
259852658,0.0,0.0,0.0,0.0
260051379,0.0,0.0,0.0,0.0
260251324,0.0,0.0,0.0,0.0
260451292,0.0,0.0,0.0,0.0
260653767,0.0018245047,0.002021131,1.7560662e-05,0.0
260853729,0.00897207,0.0076514664,-0.00030385816,0.0
261052444,0.024851419,0.020508066,-0.00283722,0.0
261252414,0.041964136,0.03396972,-0.008357838,0.0
261452376,0.053683445,0.04377118,-0.01472013,0.0
261651081,0.062122945,0.050352957,-0.020950332,0.0
261851057,0.06635105,0.05588002,-0.026811568,0.0
262053516,0.07564836,0.06006988,-0.030774383,0.0
262253480,0.07733472,0.06519393,-0.034540165,0.0
262453446,0.07294714,0.061699566,-0.037814617,0.0
262652160,0.071365476,0.055056702,-0.040541478,0.0
262852134,0.07277557,0.06108123,-0.04349948,0.0
263052093,0.082913935,0.07044428,-0.04765282,0.0
263250804,0.09212086,0.07856573,-0.05112539,0.0
263454524,0.09077019,0.07355231,-0.05321608,0.0
263653243,0.08834154,0.0736667,-0.055610593,0.0
263853207,0.08250907,0.07112666,-0.058206707,0.0
264051918,0.0823068,0.07037074,-0.06022983,0.0
264251903,0.087962575,0.068578206,-0.061853476,0.0
264451847,0.09675851,0.07345058,-0.062722355,0.0
264650558,0.09283501,0.0726543,-0.063156135,0.0
264854273,0.08907319,0.07223792,-0.063821234,0.0
265052992,0.08800617,0.072470926,-0.06431703,0.0
265252968,0.08709777,0.07325529,-0.064377636,0.0
265452924,0.087641895,0.074285276,-0.063021645,0.0
265652896,0.08098585,0.07317936,-0.059529237,0.0
265851608,0.0829499,0.071735434,-0.05698019,0.0
266050310,0.08861093,0.07241355,-0.055820234,0.0
266254028,0.0846862,0.07014002,-0.055889048,0.0
266454039,0.0752315,0.07032468,-0.05728628,0.0
266652719,0.08005568,0.07258125,-0.05887083,0.0
266852682,0.09178956,0.074115396,-0.059544295,0.0
267051391,0.08827132,0.07765416,-0.06008971,0.0
267251361,0.07900007,0.07345896,-0.060826745,0.0
267451331,0.080407,0.071977206,-0.061376028,0.0
267653792,0.08758239,0.07297602,-0.062388923,0.0
267853756,0.09407577,0.07636926,-0.06327379,0.0
268052463,0.09301074,0.07686287,-0.06428726,0.0
268252429,0.090118706,0.075476155,-0.065456726,0.0
268452401,0.080893375,0.07490301,-0.06629919,0.0
268651108,0.080045305,0.07577387,-0.067584306,0.0
268851072,0.08441482,0.079016104,-0.06893588,0.0
269051042,0.09027172,0.080526024,-0.0698694,0.0
269253500,0.097215295,0.074106954,-0.07067864,0.0
269453480,0.09692702,0.076039076,-0.071517564,0.0
269652182,0.09390683,0.07582446,-0.072555676,0.0
269852148,0.08976595,0.0752112,-0.07354854,0.0
270052115,0.08980116,0.07464475,-0.074301295,0.0
270250829,0.09057221,0.074405104,-0.074942976,0.0
270450800,0.09107657,0.07428576,-0.07542536,0.0
270653269,0.09029955,0.07352681,-0.07575563,0.0
270853219,0.0893219,0.07206675,-0.07592874,0.0
271051949,0.08948451,0.07190615,-0.07616976,0.0
271251901,0.09080027,0.071246214,-0.07653532,0.0
271451865,0.08656509,0.07271383,-0.07682699,0.0
271650599,0.08706089,0.06857547,-0.07717592,0.0
271854297,0.09809835,0.071903065,-0.077600375,0.0
