timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
258847608,0.010323098,0.0005476028,-0.0009391742,4999,0,-0.16071065,0.18668003,-9.675255,4999,0
258852607,0.009764668,-0.0015142763,-0.0022893457,4999,0,-0.16643968,0.1800267,-9.671936,4999,0
258857605,0.009520223,-0.0013002567,-0.0014762611,4998,0,-0.16599162,0.20522112,-9.681921,4998,0
258862631,0.010424009,-0.00053230545,-1.8245375e-05,5026,0,-0.14761883,0.20436865,-9.681586,5026,0
258867604,0.011247782,-0.0008708405,-0.00044318923,4973,0,-0.15751025,0.20620884,-9.674038,4973,0
258872603,0.010265849,-0.0006190891,-0.0005814855,4999,0,-0.18153533,0.20274237,-9.661223,4999,0
258877602,0.01057646,-0.00019957835,-0.0001550424,4999,0,-0.18028723,0.20528853,-9.675748,4999,0
258882601,0.009090655,-0.0010928635,0.00013901087,4999,0,-0.15717593,0.17850488,-9.683183,4999,0
258887600,0.011319717,-0.0008657531,-0.0009478928,4999,0,-0.16402927,0.2185549,-9.681671,4999,0
258892602,0.010464155,-0.00056569703,-0.00092540914,5002,0,-0.15970187,0.19236848,-9.678834,5002,0
258897600,0.010764434,-0.0013225726,-0.00118105,4998,0,-0.15140979,0.17612149,-9.655261,4998,0
258902598,0.010808619,-0.00032391332,-0.0012726795,4998,0,-0.15826488,0.1936505,-9.661096,4998,0
258907597,0.010428769,-0.00049153785,-0.0007291704,4999,0,-0.16080387,0.17851892,-9.687226,4999,0
258912596,0.009490459,-0.0005582495,-0.009897786,4999,0,-0.38226888,0.393606,-9.710078,4999,0
258917595,0.0025523992,-0.0061072307,0.036144253,4999,0,0.2830902,0.4452576,-9.424829,4999,0
258922594,0.024209565,-0.0049632746,0.06409897,4999,0,-0.5232547,-0.2853886,-10.094739,4999,0
258927593,0.015433424,0.009499092,0.019889353,4999,0,0.020601714,-0.10937217,-9.325614,4999,0
258932594,0.018294992,0.00043231447,-0.06960118,5001,0,-0.5411579,0.22230726,-9.812077,5001,0
258937591,-0.0027734288,-0.013593755,-0.09426567,4997,0,0.6774101,-0.0825211,-9.406215,4997,0
