timestamp,voltage_v,rssi_v,free_memory_bytes,actuators[0],actuators[1],actuators[2],actuators[3],actuators[4],actuators[5],actuators[6],actuators[7],servos[0],servos[1],servos[2],servos[3],servos[4],servos[5],servos[6],servos[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_outputs_armed,status_override,status_rc_ok,status_rc_ppm,status_rc_dsm,status_rc_sbus,status_fmu_ok,status_raw_pwm,status_mixer_ok,status_arm_sync,status_init_ok,status_failsafe,status_safety_off,status_fmu_initialized,status_rc_st24,status_rc_sumd,alarm_vbatt_low,alarm_temperature,alarm_servo_current,alarm_acc_current,alarm_fmu_lost,alarm_rc_lost,alarm_pwm_error,alarm_vservo_fault,arming_io_arm_ok,arming_fmu_armed,arming_fmu_prearmed,arming_manual_override_ok,arming_failsafe_custom,arming_inair_restart_ok,arming_always_pwm_enable,arming_rc_handling_disabled,arming_lockdown,arming_force_failsafe,arming_termination_failsafe,arming_override_immediate
258819811,0.021000002,1.4100001,536,-9960,-10000,-9960,-10000,0,0,0,0,1076,1075,1076,1075,1500,1500,0,0,1500,1500,1006,1499,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
259828024,0.021000002,1.5250001,536,-9960,-10000,-9960,-10000,0,0,0,0,1076,1075,1076,1075,1500,1500,0,0,1501,1500,1006,1499,2000,1001,1500,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
260841838,0.021000002,1.529,536,-5333,-5523,-3648,-6400,0,0,0,0,1278,1270,1352,1231,1500,1500,0,0,1500,1500,1006,1500,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
261859036,0.019000001,1.218,536,-8002,-3646,1170,-6410,0,0,0,0,1161,1352,1563,1231,1500,1500,0,0,1593,1408,1031,1499,2000,1000,1501,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
262868898,0.019000001,1.409,536,-6114,-5522,-871,-4601,0,0,0,0,1244,1270,1473,1310,1500,1500,0,0,1503,1501,1344,1500,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
263884643,0.024,1.524,536,-6480,-5888,-712,-6741,0,0,0,0,1228,1254,1552,1217,1500,1500,0,0,1566,1501,1330,1499,2001,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
264898544,0.016,1.1580001,536,-6935,-4901,258,-5644,0,0,0,0,1208,1297,1482,1265,1500,1500,0,0,1500,1536,1331,1499,2000,1000,1500,1501,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
265911021,0.019000001,1.2650001,536,-7857,-3291,368,-6568,0,0,0,0,1168,1367,1528,1224,1500,1500,0,0,1458,1497,1328,1498,2000,1001,1500,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
266918270,0.021000002,1.3100001,536,-3833,-7499,-2086,-4366,0,0,0,0,1344,1183,1420,1320,1500,1500,0,0,1459,1426,1328,1498,2000,1001,1500,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
267940564,0.019000001,1.493,536,-5769,-5783,-713,-5151,0,0,0,0,1259,1258,1480,1286,1500,1500,0,0,1675,1485,1330,1498,2000,1000,1500,1500,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
