timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
258841539,258841359,3932170,0.066419244,-0.024927188,-0.0072437986,43.506733,0
258842785,258842609,3932170,0.06636597,-0.023329291,-0.005965481,43.506733,0
259843868,259843684,3932170,0.007989483,-0.017576864,-0.03073288,43.604652,0
260844941,260844763,3932170,0.35521245,-0.4027765,-0.024820663,43.70257,0
261842261,261842085,3932170,0.87149286,-0.043782372,0.081812315,43.75153,0
262844578,262844402,3932170,-0.23307987,-0.6627543,0.16666062,43.506733,0
263844413,263844230,3932170,-0.7520767,0.6866695,0.13869743,43.75153,0
264845490,264845316,3932170,0.13805827,-0.13331784,-0.09150622,43.70257,0
265842812,265842631,3932170,0.01768339,-0.06924219,0.17688717,43.408813,0
266843881,266843705,3932170,-0.32740903,-0.03797668,0.029401299,43.89841,0
267844975,267844795,3932170,0.62802666,0.5641641,0.05629923,43.55569,0
268842285,268842105,3932170,-0.12815131,0.043409526,0.21012342,43.75153,0
269843355,269843180,3932170,-0.95064205,0.123730466,-0.15675367,43.75153,0
270844428,270844252,3932170,0.013795175,-0.09944244,-0.006764429,43.89841,0
271845501,271845326,3932170,1.065957,0.12852415,-0.056352492,43.55569,0
272842825,272842650,3932170,0.08420916,-0.14098775,-0.08825716,43.70257,0
273843911,273843724,3932170,0.055819858,0.02860235,0.07962852,43.75153,0
274844982,274844800,3932170,0.33337453,0.16255936,0.1165932,43.70257,0
275842301,275842122,3932170,-0.24000409,-0.18812571,-0.03536678,43.604652,0
276843376,276843196,3932170,1.940539,0.11680625,-0.06764429,43.75153,0
277844443,277844266,3932170,1.1359447,0.15899073,-0.015765915,43.604652,0
278846763,278846587,3932170,0.651569,-0.39835566,-0.04410195,43.55569,0
279842834,279842659,3932170,0.062477764,-0.4305799,0.23638219,43.70257,0
280843907,280843729,3932170,-0.13427658,0.059708074,0.067697555,43.506733,0
281846225,281846051,3932170,0.5177718,-0.12841763,0.0018109496,43.75153,0
282842298,282842123,3932170,-0.34285536,0.050014168,-0.111160345,43.310894,0
283843367,283843192,3932170,-0.4463991,-0.22892535,0.16969663,43.55569,0
284844441,284844262,3932170,0.14663365,-0.15590146,0.032969937,43.55569,0
285845505,285845330,3932170,0.5808887,0.07920241,-0.08926916,43.75153,0
286842825,286842650,3932170,-0.5340171,0.32277513,-0.024394555,43.55569,0
287843892,287843717,3932170,-0.9966615,0.5363074,-0.088150635,43.506733,0
288844966,288844785,3932170,1.0508834,0.41055292,-0.22365227,43.55569,0
289842281,289842104,3932170,0.43228433,0.31292143,-0.14173344,43.310894,0
290843351,290843172,3932170,0.6360694,-0.021092238,0.0076699043,43.310894,0
291844420,291844243,3932170,0.14769892,-0.08985505,-0.09161274,43.408813,0
292845474,292845300,3932170,-0.20762005,-0.15377092,-0.038988683,43.310894,0
293842801,293842620,3932170,0.26162896,0.5894641,-0.23281355,43.35985,0
294843864,294843689,3932170,-0.48165932,0.602194,-0.16623452,43.70257,0
295844956,295844782,3932170,-1.2153069,-0.16309199,0.1979794,43.310894,0
296842274,296842099,3932170,-0.15478294,-0.25369275,0.019014971,43.212975,0
297843294,297843119,3932170,0.6332465,-0.48267132,0.1989914,43.310894,0
298844357,298844181,3932170,0.43020704,-0.10040118,-0.13566142,43.310894,0
299845416,299845242,3932170,-0.40101883,-0.24804683,-0.15851136,43.164017,0
300842728,300842554,3932170,-1.1434549,0.017736653,0.034248255,43.212975,0
301843788,301843613,3932170,-0.2611496,-0.08868326,-0.06455503,43.212975,0
302844852,302844677,3932170,-0.43979445,0.24964473,-0.12357068,43.310894,0
303842160,303841986,3932170,0.9960755,0.12735237,-0.007882957,43.164017,0
304843217,304843041,3932170,0.052996907,0.064182185,0.02311624,43.066097,0
305844275,305844097,3932170,-0.70392674,0.014221281,0.11531488,43.408813,0
306845335,306845157,3932170,0.63649553,-0.1439705,-0.067697555,42.968178,0
307842637,307842462,3932170,0.100241385,0.28671592,-0.11547467,43.212975,0
308843691,308843517,3932170,0.039574575,-0.17433053,0.09763149,42.968178,0
