timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
258842609,nan,nan,nan,-2.478927,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
258862631,nan,nan,nan,-2.4789305,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
258942591,nan,nan,nan,-2.4796846,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
259042573,nan,nan,nan,-2.4782848,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
259142558,nan,nan,nan,-2.4788742,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
259242538,nan,nan,nan,-2.4786696,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
259342521,nan,nan,nan,-2.4786625,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
259442502,nan,nan,nan,-2.4784834,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
259542485,nan,nan,nan,-2.478412,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
259642467,nan,nan,nan,-2.4784186,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
259742450,nan,nan,nan,-2.4781811,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
259842439,0.68875235,0.3074614,0.39079046,-2.4789534,0.0,-0.0003778585,0.00025874394,2.3789737,-0.028686553,0.015137855,9.543014,0.0,0.0,0.0,-3.915507e-05,2.0662079e-05,-0.013441728
259942415,0.68873197,0.30747652,0.393642,-2.4789534,0.0,-0.0013670062,0.0011861956,2.1972952,-0.003175336,-0.005130362,9.2604475,0.0,0.0,0.0,-1.01206215e-05,-1.6351798e-05,-0.027848588
260042397,0.68868697,0.30751142,0.3954925,-2.4789534,0.0,-0.0039496226,0.0018578866,2.0156057,-0.018874813,0.006555373,8.938868,0.0,0.0,0.0,-8.41445e-05,2.9224055e-05,-0.044244602
260142380,0.6886176,0.30756614,0.39700457,-2.4789534,0.0,-0.006882403,0.0025728832,1.8339145,-0.05766981,0.04831118,8.548478,0.0,0.0,0.0,-0.00037736917,0.00031612988,-0.064148925
260242363,0.688524,0.30764034,0.39814126,-2.4789534,0.0,-0.010017602,0.005675016,1.6522235,-0.059690807,0.066718414,8.196185,0.0,0.0,0.0,-0.00049978297,0.00055862416,-0.08211087
260342346,0.688406,0.30773428,0.39907277,-2.4789534,0.0,-0.0130473105,0.0094139725,1.4705323,-0.03637069,-0.027838532,7.6836023,0.0,0.0,0.0,-0.00040147785,-0.00030729562,-0.10824531
260442327,0.6882645,0.30784723,0.40100303,-2.4789534,0.0,-0.01493706,0.012184264,1.2888447,-0.10390155,0.03420571,7.2739515,0.0,0.0,0.0,-0.0013690577,0.00045071117,-0.12913169
260542359,0.6880987,0.3079798,0.4028423,-2.4789534,0.0,-0.016480973,0.014701355,1.1070646,-0.04521905,0.062447615,6.7508154,0.0,0.0,0.0,-0.000718775,0.00099263,-0.15580422
260642289,0.6879086,0.3081319,0.40472877,-2.4789534,0.0,-0.01661084,0.01598286,0.92546976,-0.13035837,0.120421454,6.1612544,0.0,0.0,0.0,-0.0024708842,0.0022825347,-0.18586345
260742275,0.68769526,0.30830285,0.406299,-2.4789534,0.0,-0.016507823,0.0167518,0.7437731,-0.03831108,0.064822346,5.633295,0.0,0.0,0.0,-0.00083082204,0.0014057511,-0.21278189
260842257,0.687457,0.3084939,0.4072543,-2.4789534,0.0,-0.018129542,0.018110065,0.5620837,-0.020361595,0.07729591,4.993843,0.0,0.0,0.0,-0.0005093637,0.001933627,-0.24538487
260942239,0.687196,0.30870336,0.40708205,-2.4789534,0.0,-0.01847944,0.019326892,0.3803944,0.038108744,-0.032604016,4.444724,0.0,0.0,0.0,0.0010662415,-0.00091222516,-0.27338216
261042222,0.6869098,0.3089333,0.40522856,-2.4789534,0.0,-0.015807576,0.019017955,0.19870324,0.16564459,-0.13639471,3.9296494,0.0,0.0,0.0,0.0050615403,-0.004167762,-0.29964364
261142204,0.6865999,0.30918223,0.39637917,-2.4789534,0.0,-0.008332415,0.018060531,0.07141319,0.3327725,0.008792905,3.9864185,0.0,0.0,0.0,0.01006988,0.00026607816,-0.29674923
261242187,0.6862642,0.30945197,0.3730382,-2.4789534,0.0,0.0018757244,0.017083844,0.023001049,0.47926885,-0.15497383,4.2324705,0.0,0.0,0.0,0.013889246,-0.004491153,-0.28420407
