timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
258850329,258850108,0.018638493,0.015309568,-9.512227e-05,0.001,0.0,0.0,0.0,-1.0
258851589,258851360,0.01869777,0.015494211,-5.5079752e-05,0.001,0.0,0.0,0.0,-1.0
258952812,258952588,0.016652344,0.033411164,0.00702027,0.001,0.0,0.0,0.0,-1.0
259050292,259050072,0.015450975,0.004414056,-0.0023502435,0.001,0.0,0.0,0.0,-1.0
259152781,259152553,0.021857426,0.007223738,0.002444675,0.001,0.0,0.0,0.0,-1.0
259254015,259253787,0.01559482,0.03060467,-0.0038183338,0.001,0.0,0.0,0.0,-1.0
259351490,259351268,0.025216604,0.018431008,-0.0008468603,0.001,0.0,0.0,0.0,-1.0
259453981,259453751,0.018373769,0.014965781,0.0011545838,0.001,0.0,0.0,0.0,-1.0
259551505,259551281,0.020135794,0.007381476,0.0009808994,0.001,0.0,0.0,0.0,-1.0
259652697,259652466,0.015323376,0.033558436,-5.1051695e-05,0.001,0.0,0.0,0.0,-1.0
259751420,259751198,0.025122788,0.0048839375,-0.0026304014,0.001,0.0,0.0,0.0,-1.0
259852661,259852431,0.011664753,0.02109124,7.637078e-05,0.013441801,0.0,0.0,0.0,-1.0
259953900,259953677,0.028261447,0.020264227,0.0008211373,0.027848596,0.0,0.0,0.0,-1.0
260051382,260051146,0.039037045,-0.015517591,0.0012464889,0.04424469,0.0,0.0,0.0,-1.0
260153858,260153631,0.025483452,0.020499654,-0.00023137032,0.06415081,0.0,0.0,0.0,-1.0
260251327,260251111,0.013950281,-0.018353943,4.5228284e-05,0.08211429,0.0,0.0,0.0,-1.0
260352565,260352343,0.017244255,0.050449602,-9.252154e-05,0.1082465,0.0,0.0,0.0,-1.0
260451295,260451075,0.014630623,0.04755193,-0.0033571317,0.12913974,0.0,0.0,0.0,-1.0
260552574,260552351,0.00537788,-0.0061150882,-0.00031643378,0.15580903,0.0,0.0,0.0,-1.0
260653770,260653540,0.00048247282,0.042084176,0.0005700349,0.1858939,0.0,0.0,0.0,-1.0
260752506,260752273,-0.008221642,0.018846726,-0.0028137832,0.21278815,0.0,0.0,0.0,-1.0
260853733,260853505,0.09996666,0.026848402,-0.01449342,0.24539302,0.0,0.0,0.0,-1.0
260951216,260950988,0.0080100885,0.0824823,-0.02281891,0.27338576,0.0,0.0,0.0,-1.0
261052452,261052220,0.049577907,0.07711142,-0.045850374,0.29971537,0.0,0.0,0.0,-1.0
261151175,261150953,0.119926415,0.06533909,-0.060132455,0.29692015,0.0,0.0,0.0,-1.0
261252417,261252193,0.10045474,0.08669562,-0.0734367,0.28457868,0.0,0.0,0.0,-1.0
261353650,261353418,0.09844553,0.04493894,-0.072704546,0.2799913,0.0,0.0,0.0,-1.0
261452379,261452150,0.19781801,0.07188544,-0.075380765,0.28541824,0.0,0.0,0.0,-1.0
261553609,261553382,0.07210908,0.07507615,-0.08343962,0.2863068,0.0,0.0,0.0,-1.0
