timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
258850313,258850108,-7.411107e-05,0.00068134215,0.0008978019
258851573,258851360,-6.394175e-05,0.0005759912,0.0006975893
258872820,258872603,0.00056452514,0.000101018835,0.0012803975
258894059,258893849,0.0005024664,4.447796e-05,0.0008848863
258910309,258910097,0.00053454767,0.00021644881,0.0005431308
258931550,258931342,0.00890035,0.0019423584,0.023226956
258952796,258952588,-0.014522902,8.0143445e-06,-0.034186084
258974063,258973835,0.012760786,-0.008130708,0.07051832
258991534,258991332,0.0071002897,-0.0124041615,-0.024969883
259012786,259012578,-0.022754418,-0.0047129495,-0.041212086
259034042,259033825,0.00742141,-0.0014440118,0.053247854
259051532,259051321,0.022075118,0.021821061,0.0071453974
259071519,259071318,-0.02542136,-0.0081133805,-0.031331174
259092778,259092564,0.0076351096,-0.024339098,0.0059744846
259114029,259113812,0.013194425,-0.012455041,0.032278515
259131517,259131308,-0.01164775,0.027733825,-0.02524592
259152764,259152553,-0.011330295,0.014244973,-0.011557033
259174023,259173800,0.005146035,-0.000501678,0.016354099
259191543,259191334,0.00082395,-0.024671458,0.016031679
259211517,259211316,0.0032890665,-0.014558824,-0.009104259
259232750,259232540,0.009509072,0.0012757694,0.004141107
259253994,259253787,0.002549378,-0.0011982926,0.018968703
259271488,259271287,-0.0029645541,0.015687976,-0.024968598
259292747,259292528,-0.013638227,0.012445596,-0.019075144
259313990,259313776,-0.007220259,0.010529737,0.012561534
259331486,259331272,0.0017240715,-0.0022625756,0.0032151935
259351471,259351268,0.0006812498,-0.012697671,0.004363596
259372722,259372515,0.011384037,-0.013851654,0.02085498
259393975,259393763,0.0077964393,-0.0076083974,0.011284985
259411459,259411258,-0.0009381981,0.0036095297,-0.00610897
259432713,259432505,0.0011309454,0.002377911,-0.010343475
259453963,259453751,-0.0027694055,0.0059854975,-0.0049844612
259471448,259471247,-0.0066232607,0.0019849471,-0.00038761398
259491448,259491244,-0.003538669,0.004291911,-0.010033043
259512697,259512490,-0.00431781,0.0066505335,0.007597931
259533964,259533751,-0.003624567,0.0034922988,0.013928253
259551489,259551281,0.0015702017,0.0042515555,-0.004460408
259572687,259572480,0.0009574995,-0.00044172883,0.0027133704
259593941,259593728,0.0066863983,-0.0031599314,0.014794599
259611441,259611240,0.0032132932,-0.0064633344,-0.00432687
259631423,259631219,-0.0030141894,-0.008997299,0.0004730084
259652681,259652466,0.0042577605,-0.008757737,0.0007315171
259673922,259673713,0.002110495,0.0023548831,-0.0074477624
259691416,259691209,-0.010026859,0.017372523,-0.0031038965
259712663,259712455,-0.0025606225,0.016105117,-0.008840057
259733910,259733702,-0.0041960813,0.015967228,-0.005767423
259751405,259751198,-5.6628633e-05,-0.0051115584,0.013362062
259771395,259771194,0.0073593594,-0.01225037,0.0057144347
259792656,259792441,0.0022461698,-0.014470299,0.011831223
259813896,259813687,0.004392656,-0.011524777,0.016725186
259831386,259831184,0.0048368345,0.008624333,-0.009717022
259852645,259852431,-0.0026890195,0.0063854065,-0.0020014339
259873885,259873678,0.00096483587,0.005373062,-0.0034239993
259891379,259891175,-0.006027183,0.010195795,-0.01442784
259911379,259911170,-0.010821767,0.00868834,0.0021975527
259932623,259932416,-0.0049007596,0.003637284,0.004950052
259953882,259953677,-0.010639788,0.010369066,-0.006082736
