timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
258263746,inf,0,1,1,1,1
259263762,inf,0,1,1,1,1
260273394,inf,0,1,1,1,1
260573308,inf,0,1,0,0,1
260823575,inf,0,0,0,0,0
261833229,inf,0,0,0,0,0
262542955,inf,0,0,0,0,1
262882986,inf,0,0,0,0,0
263883364,inf,0,0,0,0,0
264892570,inf,0,0,0,0,0
265902584,inf,0,0,0,0,0
266912409,inf,0,0,0,0,0
267922193,inf,0,0,0,0,0
268931761,inf,0,0,0,0,0
269941661,inf,0,0,0,0,0
270941812,inf,0,0,0,0,0
271946160,inf,0,0,0,0,0
272946232,inf,0,0,0,0,0
273956242,inf,0,0,0,0,0
274965921,inf,0,0,0,0,0
275975672,inf,0,0,0,0,0
276986020,inf,0,0,0,0,0
277995412,inf,0,0,0,0,0
279004933,inf,0,0,0,0,0
280015195,inf,0,0,0,0,0
281024781,inf,0,0,0,0,0
282034795,inf,0,0,0,0,0
283044507,inf,0,0,0,0,0
284054284,inf,0,0,0,0,0
285064180,inf,0,0,0,0,0
286073670,inf,0,0,0,0,0
287083611,inf,0,0,0,0,0
288083800,inf,0,0,0,0,0
289093524,inf,0,0,0,0,0
290103102,inf,0,0,0,0,0
291112788,inf,0,0,0,0,0
292122841,inf,0,0,0,0,0
293132432,inf,0,0,0,0,0
294132513,inf,0,0,0,0,0
295142187,inf,0,0,0,0,0
296147003,inf,0,0,0,0,0
297157102,inf,0,0,0,0,0
298166586,inf,0,0,0,0,0
299176751,inf,0,0,0,0,0
300186308,inf,0,0,0,0,0
301186560,inf,0,0,0,0,0
302196575,inf,0,0,0,0,0
303205643,inf,0,0,0,0,0
304215569,inf,0,0,0,0,0
305225250,inf,0,0,0,0,0
306235384,inf,0,0,0,0,0
307244755,inf,0,0,0,0,0
308254788,inf,0,0,0,0,0
309264571,inf,0,0,0,0,0
310274098,inf,0,0,0,0,0
311274254,inf,0,0,0,0,0
312283888,inf,0,0,0,0,0
313293561,inf,0,0,0,0,0
314293624,inf,0,0,0,0,0
315303402,inf,0,0,0,0,0
316313150,inf,0,0,0,0,0
317322904,inf,0,0,0,0,0
318322970,inf,0,0,0,0,0
319332613,inf,0,0,0,0,0
320342460,inf,0,0,0,0,0
321352155,inf,0,0,0,0,0
322361898,inf,0,0,0,0,0
323366826,inf,0,0,0,0,0
324376546,inf,0,0,0,0,0
325386875,inf,0,0,0,0,0
326396187,inf,0,0,0,0,0
327396611,inf,0,0,0,0,0
328405554,inf,0,0,0,0,0
329415492,inf,0,0,0,0,0
330425189,inf,0,0,0,0,0
331435196,inf,0,0,0,0,0
332444855,inf,0,0,0,0,0
333454491,inf,0,0,0,0,0
334464466,inf,0,0,0,0,0
335474019,inf,0,0,0,0,0
336483914,inf,0,0,0,0,0
337484097,inf,0,0,0,0,0
338493521,inf,0,0,0,0,0
339493527,inf,0,0,0,0,0
340503199,inf,0,0,0,0,0
341513056,inf,0,0,0,0,0
342522842,inf,0,0,0,0,0
343532439,inf,0,0,0,0,0
344542247,inf,0,0,0,0,0
345551824,inf,0,0,0,0,0
346551873,inf,0,0,0,0,0
347556614,inf,0,0,0,0,0
348566183,inf,0,0,0,0,0
349576167,inf,0,0,0,0,0
350586189,inf,0,0,0,0,0
351586250,inf,0,0,0,0,0
352595484,inf,0,0,0,0,0
353596027,inf,0,0,0,0,0
354605075,inf,0,0,0,0,0
355615046,inf,0,0,0,0,0
356624921,inf,0,0,0,0,0
357634295,inf,0,0,0,0,0
358644059,inf,0,0,0,0,0
359653699,inf,0,0,0,0,0
360653777,inf,0,0,0,0,0
361663649,inf,0,0,0,0,0
362672987,inf,0,0,0,0,0
363682908,inf,0,0,0,0,0
364682990,inf,0,0,0,0,0
365692553,inf,0,0,0,0,0
366697201,inf,0,0,0,0,0
367706843,inf,0,0,0,0,0
368716776,inf,0,0,0,0,0
369726511,inf,0,0,0,0,0
370736483,inf,0,0,0,0,0
371746063,inf,0,0,0,0,0
372755944,inf,0,0,0,0,0
373765634,inf,0,0,0,0,0
374775439,inf,0,0,0,0,0
375785011,inf,0,0,0,0,0
376785659,inf,0,0,0,0,0
377795408,inf,0,0,0,0,0
378804570,inf,0,0,0,0,0
379814001,inf,0,0,0,0,0
380814068,inf,0,0,0,0,0
381823776,inf,0,0,0,0,0
382833564,inf,0,0,0,0,0
383843552,inf,0,0,0,0,0
384852931,inf,0,0,0,0,0
385862697,inf,0,0,0,0,0
386872422,inf,0,0,0,0,0
387882289,inf,0,0,0,0,0
388892012,inf,0,0,0,0,0
389901839,inf,0,0,0,0,0
390911557,inf,0,0,0,0,0
391916299,inf,0,0,0,0,0
392925831,inf,0,0,0,0,0
393925921,inf,0,0,0,0,0
394176239,inf,0,0,0,0,1
394435703,inf,0,0,1,0,1
394485657,inf,0,0,1,1,1
394535845,inf,0,1,1,1,1
