timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
258786293,258786,1,1,1,0,0,0,0,0
259294206,258786,1,1,1,0,0,0,0,0
259801126,258786,1,1,1,0,0,0,0,0
260309088,258786,1,1,1,0,0,0,0,0
260815323,258786,1,1,1,0,0,0,0,0
261321382,258786,1,1,1,0,0,0,0,0
261828089,258786,1,1,1,0,0,0,0,0
261949364,258786,1,1,1,0,0,0,0,0
262460089,258786,1,1,1,0,0,0,0,0
262961131,258786,1,1,1,0,0,0,0,0
263471098,258786,1,1,1,0,0,0,0,0
263971124,258786,1,1,1,0,0,0,0,0
264483226,258786,1,1,1,0,0,0,0,0
264991250,258786,1,1,1,0,0,0,0,0
265499092,258786,1,1,1,0,0,0,0,0
266008087,258786,1,1,1,0,0,0,0,0
266515450,258786,1,1,1,0,0,0,0,0
267021125,258786,1,1,1,0,0,0,0,0
267527126,258786,1,1,1,0,0,0,0,0
268035227,258786,1,1,1,0,0,0,0,0
268543093,258786,1,1,1,0,0,0,0,0
269052500,258786,1,1,1,0,0,0,0,0
269561910,258786,1,1,1,0,0,0,0,0
270068090,258786,1,1,1,0,0,0,0,0
270574149,258786,1,1,1,0,0,0,0,0
271080122,258786,1,1,1,0,0,0,0,0
271588264,258786,1,1,1,0,0,0,0,0
272095181,258786,1,1,1,0,0,0,0,0
272601108,258786,1,1,1,0,0,0,0,0
273107087,258786,1,1,1,0,0,0,0,0
273614310,258786,1,1,1,0,0,0,0,0
274122229,258786,1,1,1,0,0,0,0,0
274622248,258786,1,1,1,0,0,0,0,0
275131128,258786,1,1,1,0,0,0,0,0
275638174,258786,1,1,1,0,0,0,0,0
276145708,258786,1,1,1,0,0,0,0,0
276652460,258786,1,1,1,0,0,0,0,0
277159101,258786,1,1,1,0,0,0,0,0
277666063,258786,1,1,1,0,0,0,0,0
278173090,258786,1,1,1,0,0,0,0,0
278679086,258786,1,1,1,0,0,0,0,0
279187275,258786,1,1,1,0,0,0,0,0
279693137,258786,1,1,1,0,0,0,0,0
280200087,258786,1,1,1,0,0,0,0,0
280708187,258786,1,1,1,0,0,0,0,0
281219310,258786,1,1,1,0,0,0,0,0
281728248,258786,1,1,1,0,0,0,0,0
282237087,258786,1,1,1,0,0,0,0,0
282744719,258786,1,1,1,0,0,0,0,0
283251229,258786,1,1,1,0,0,0,0,0
283757110,258786,1,1,1,0,0,0,0,0
284263087,258786,1,1,1,0,0,0,0,0
284770098,258786,1,1,1,0,0,0,0,0
285279132,258786,1,1,1,0,0,0,0,0
285786277,258786,1,1,1,0,0,0,0,0
286295163,258786,1,1,1,0,0,0,0,0
286804335,258786,1,1,1,0,0,0,0,0
287311088,258786,1,1,1,0,0,0,0,0
287817125,258786,1,1,1,0,0,0,0,0
288325294,258786,1,1,1,0,0,0,0,0
288831125,258786,1,1,1,0,0,0,0,0
289338122,258786,1,1,1,0,0,0,0,0
289845088,258786,1,1,1,0,0,0,0,0
290355087,258786,1,1,1,0,0,0,0,0
290866088,258786,1,1,1,0,0,0,0,0
291366236,258786,1,1,1,0,0,0,0,0
291877357,258786,1,1,1,0,0,0,0,0
292387371,258786,1,1,1,0,0,0,0,0
292895090,258786,1,1,1,0,0,0,0,0
293402805,258786,1,1,1,0,0,0,0,0
293909286,258786,1,1,1,0,0,0,0,0
294416140,258786,1,1,1,0,0,0,0,0
294922870,258786,1,1,1,0,0,0,0,0
295428182,258786,1,1,1,0,0,0,0,0
295934108,258786,1,1,1,0,0,0,0,0
296443100,258786,1,1,1,0,0,0,0,0
296943154,258786,1,1,1,0,0,0,0,0
297453182,258786,1,1,1,0,0,0,0,0
297961400,258786,1,1,1,0,0,0,0,0
298468098,258786,1,1,1,0,0,0,0,0
298977209,258786,1,1,1,0,0,0,0,0
299485092,258786,1,1,1,0,0,0,0,0
299991133,258786,1,1,1,0,0,0,0,0
300497084,258786,1,1,1,0,0,0,0,0
301004259,258786,1,1,1,0,0,0,0,0
301512189,258786,1,1,1,0,0,0,0,0
302022186,258786,1,1,1,0,0,0,0,0
302529123,258786,1,1,1,0,0,0,0,0
303037085,258786,1,1,1,0,0,0,0,0
303543087,258786,1,1,1,0,0,0,0,0
304051319,258786,1,1,1,0,0,0,0,0
304557229,258786,1,1,1,0,0,0,0,0
305064119,258786,1,1,1,0,0,0,0,0
305572227,258786,1,1,1,0,0,0,0,0
306078344,258786,1,1,1,0,0,0,0,0
306584117,258786,1,1,1,0,0,0,0,0
307095199,258786,1,1,1,0,0,0,0,0
307606088,258786,1,1,1,0,0,0,0,0
308117089,258786,1,1,1,0,0,0,0,0
308625128,258786,1,1,1,0,0,0,0,0
309132299,258786,1,1,1,0,0,0,0,0
