timestamp,saturation_status
258838688,1533
258861265,1533
259846135,1517
260844222,1
261833891,1
262845352,1
263835186,1
264853438,1
265843432,1
266849698,1
267852803,1
268844416,1
269842907,1
270839129,1
271833807,1
272841352,1
273846773,1
274836668,1
275833076,1
276847861,1
277842879,1
278847539,1
279847623,1
280837285,1
281849855,1
282829591,1
283846777,1
284841568,1
285844568,1
286841150,1
287840989,1
288850886,1
289844170,1
290840433,1
291837947,1
292853360,1
293837533,1
294849815,1
295837742,1
296837959,1
297849080,1
298837603,1
299833756,1
300848483,1
301833304,1
302843088,1
303846218,1
304830489,1
305840338,1
306845827,1
307832297,1
308847137,1
309839538,1
310846663,1
311841459,1
312849024,1
313838825,1
314838513,1
315845679,1
316835553,1
317837916,1
318833474,1
319843458,1
320847333,1
321847116,1
322847017,1
323839038,1
324848830,1
325833847,1
326841061,1
327853286,1
328840680,1
329845882,1
330852738,1
331850102,1
332852238,1
333837120,1
334849376,1
335851613,1
336844597,1
337846129,1
338835925,1
339833748,1
340853631,1
341835219,1
342845059,1
343843122,1
344849746,1
345839393,1
346846881,1
347851718,1
348838768,1
349851076,1
350833400,1
351848044,1
352842891,1
353850251,1
354840111,1
355847277,1
356831922,1
357839503,1
358841398,1
359846328,1
360834273,1
361845813,1
362843857,1
363840425,1
364837786,1
365847686,1
366834652,1
367849546,1
368851922,1
369834334,1
370841525,1
371848465,1
372840889,1
373833033,1
374830492,1
375850299,1
376850102,1
377846974,1
378839637,1
379839277,1
380839078,1
381831115,1
382836052,1359
383848383,1
384845531,1333
385833368,1359
386853191,1
387837329,1333
388834498,7
389842474,1471
390844182,1471
391851491,1471
392841286,1471
393843129,1471
394836314,1471
