timestamp,timestamp_sample,device_id,error_count,pressure,temperature
258850732,258850722,3997730,0,1005.48,40.7
258860815,258860807,3997730,0,1005.47,40.7
259835428,259835418,3997730,0,1005.49,40.7
260839906,260839898,3997730,0,1005.54,40.71
261844722,261844714,3997730,0,1005.41,40.71
262849261,262849253,3997730,0,1005.48,40.719997
263843805,263843797,3997730,0,1005.44995,40.719997
264848549,264848539,3997730,0,1005.45996,40.73
265843033,265843025,3997730,0,1005.45996,40.73
266847545,266847537,3997730,0,1005.43,40.73
267852318,267852309,3997730,0,1005.39996,40.739998
268836898,268836890,3997730,0,1005.44995,40.739998
269841440,269841431,3997730,0,1005.41,40.75
270846164,270846156,3997730,0,1005.44995,40.75
271850752,271850743,3997730,0,1005.43,40.75
272845294,272845286,3997730,0,1005.44,40.75
273850064,273850056,3997730,0,1005.39996,40.75
274844681,274844673,3997730,0,1005.41,40.75
275849453,275849445,3997730,0,1005.41,40.75
276834033,276834026,3997730,0,1005.41,40.75
277838913,277838906,3997730,0,1005.44995,40.75
278843648,278843640,3997730,0,1005.41,40.739998
279848295,279848287,3997730,0,1005.41,40.739998
280853031,280853023,3997730,0,1005.35,40.739998
281847463,281847452,3997730,0,1005.44,40.739998
282842002,282841994,3997730,0,1005.42,40.73
283846641,283846632,3997730,0,1005.43,40.73
284851251,284851243,3997730,0,1005.42,40.719997
285835921,285835912,3997730,0,1005.44,40.71
286840673,286840664,3997730,0,1005.44995,40.71
287845393,287845384,3997730,0,1005.44995,40.7
288850185,288850177,3997730,0,1005.41,40.69
289844505,289844463,3997730,0,1005.38995,40.69
290848969,290848961,3997730,0,1005.47,40.68
291853703,291853668,3997730,0,1005.44995,40.67
292848239,292848228,3997730,0,1005.43,40.66
293832991,293832981,3997730,0,1005.39996,40.66
294837418,294837410,3997730,0,1005.45996,40.64
295842166,295842157,3997730,0,1005.39996,40.64
296846973,296846965,3997730,0,1005.39996,40.62
297851648,297851607,3997730,0,1005.37,40.61
298846116,298846108,3997730,0,1005.43,40.6
299850904,299850896,3997730,0,1005.38,40.59
300845460,300845452,3997730,0,1005.38,40.579998
301849927,301849919,3997730,0,1005.39996,40.559998
302834581,302834573,3997730,0,1005.38,40.55
303839339,303839331,3997730,0,1005.39996,40.54
304844244,304844233,3997730,0,1005.45996,40.53
305848928,305848920,3997730,0,1005.47,40.52
306853454,306853445,3997730,0,1005.43,40.51
307848015,307847973,3997730,0,1005.42,40.489998
308852744,308852693,3997730,0,1005.42,40.48
309847429,309847420,3997730,0,1005.44,40.46
310831714,310831706,3997730,0,1005.44,40.45
311836285,311836249,3997730,0,1005.43,40.44
312840805,312840797,3997730,0,1005.39996,40.42
313845361,313845353,3997730,0,1005.44,40.41
314849922,314849913,3997730,0,1005.38995,40.39
315844415,315844369,3997730,0,1005.35,40.379997
316848999,316848991,3997730,0,1005.42,40.36
317843807,317843798,3997730,0,1005.44995,40.35
318848196,318848188,3997730,0,1005.43,40.329998
319852715,319852707,3997730,0,1005.45996,40.32
320837192,320837183,3997730,0,1005.44,40.309998
321841602,321841593,3997730,0,1005.41,40.29
322846385,322846376,3997730,0,1005.45996,40.27
323850806,323850689,3997730,0,1005.37,40.25
324845126,324845118,3997730,0,1005.39996,40.239998
325849838,325849830,3997730,0,1005.43,40.23
326844468,326844459,3997730,0,1005.39996,40.21
327849151,327849143,3997730,0,1005.39996,40.19
328833628,328833592,3997730,0,1005.44,40.18
329838175,329838168,3997730,0,1005.44995,40.17
330842876,330842868,3997730,0,1005.38995,40.149998
331847483,331847474,3997730,0,1005.50995,40.14
332852100,332852092,3997730,0,1005.44995,40.12
333846893,333846885,3997730,0,1005.36,40.1
334851536,334851528,3997730,0,1005.47,40.079998
335846283,335846247,3997730,0,1005.44,40.07
336850965,336850956,3997730,0,1005.44995,40.059998
337835660,337835652,3997730,0,1005.41,40.04
338840353,338840345,3997730,0,1005.44,40.03
339844710,339844670,3997730,0,1005.44995,40.01
340849233,340849224,3997730,0,1005.42,39.989998
341853923,341853915,3997730,0,1005.42,39.98
342848532,342848523,3997730,0,1005.39996,39.969997
343843195,343843187,3997730,0,1005.39996,39.95
344847456,344847449,3997730,0,1005.44,39.94
345852211,345852203,3997730,0,1005.43,39.92
346836975,346836968,3997730,0,1005.38,39.91
347841462,347841454,3997730,0,1005.45996,39.89
348846138,348846129,3997730,0,1005.39996,39.87
349850710,349850701,3997730,0,1005.43,39.86
350845238,350845229,3997730,0,1005.43,39.84
351849710,351849702,3997730,0,1005.39996,39.829998
352844373,352844365,3997730,0,1005.43,39.809998
353849019,353848971,3997730,0,1005.45996,39.79
354833571,354833562,3997730,0,1005.41,39.78
355838200,355838193,3997730,0,1005.35,39.76
356842928,356842920,3997730,0,1005.41,39.75
357847369,357847361,3997730,0,1005.38,39.73
358851870,358851862,3997730,0,1005.44995,39.719997
359846585,359846577,3997730,0,1005.37,39.7
360851438,360851426,3997730,0,1005.41,39.68
361846341,361846227,3997730,0,1005.44995,39.67
362850622,362850614,3997730,0,1005.44995,39.649998
363835396,363835388,3997730,0,1005.38995,39.64
364840115,364840107,3997730,0,1005.41,39.629997
365844584,365844576,3997730,0,1005.43,39.61
366849204,366849194,3997730,0,1005.47,39.6
367843902,367843893,3997730,0,1005.42,39.579998
368848583,368848575,3997730,0,1005.38,39.57
369852858,369852850,3997730,0,1005.42,39.55
370847634,370847626,3997730,0,1005.39996,39.54
371852586,371852578,3997730,0,1005.41,39.52
372836966,372836958,3997730,0,1005.41,39.51
373841473,373841464,3997730,0,1005.50995,39.5
374846196,374846188,3997730,0,1005.42,39.48
375850846,375850837,3997730,0,1005.37,39.469997
376845504,376845496,3997730,0,1005.39996,39.45
377850136,377850127,3997730,0,1005.39996,39.44
378844664,378844656,3997730,0,1005.48,39.43
379849280,379849272,3997730,0,1005.42,39.41
380833912,380833903,3997730,0,1005.43,39.399998
381838387,381838379,3997730,0,1005.39996,39.379997
382843072,382843064,3997730,0,1005.43,39.37
383847695,383847686,3997730,0,1005.35,39.35
384852395,384852386,3997730,0,1005.45996,39.34
385847104,385847061,3997730,0,1005.43,39.32
386851879,386851870,3997730,0,1005.44995,39.3
387846605,387846570,3997730,0,1005.42,39.29
388851406,388851397,3997730,0,1005.52997,39.27
389835812,389835804,3997730,0,1005.50995,39.25
390840528,390840520,3997730,0,1005.5,39.23
391845263,391845255,3997730,0,1005.5,39.21
392849840,392849802,3997730,0,1005.47,39.19
393844235,393844227,3997730,0,1005.56,39.17
394848930,394848922,3997730,0,1005.49,39.149998
