timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
260643623,260642289,0.28520566,0.006242617,3.6515458,8.458007,0.17516322,6.4345894,0
260663475,260662289,0.20695822,0.0041512637,5.3224273,9.67626,0.32528904,6.447016,0
260763320,260762271,0.21447645,0.00047276515,-2.8666258,7.9325924,0.115102395,6.341628,0
260863571,260862253,0.20494463,0.0002302713,1.9952767,6.954404,0.06360684,6.1160517,0
260963342,260962237,0.2116004,0.00013357987,-2.5893357,6.5628395,0.11351217,5.9790125,0
261063621,261062218,0.22286966,9.442983e-05,-3.1852255,6.4393334,0.17506403,6.0917587,0
261143275,261142204,0.22482246,7.7801866e-05,-0.18272543,6.3552837,0.0005837414,6.0283413,0
261263262,261262184,0.23430564,6.360952e-05,-1.2149203,6.328059,0.025916869,6.112096,0
261343264,261342170,0.2373219,5.7693054e-05,-2.513286,6.111376,0.11484243,5.9566383,0
261463273,261462149,0.24234314,5.1096245e-05,3.4330258,6.2650585,0.20901935,6.2346053,0
261563354,261562131,0.2407346,4.666803e-05,0.6869273,6.251328,0.008387003,6.091278,0
261663253,261662115,0.24152032,4.2763677e-05,-0.41973197,5.967422,0.0032803095,5.8082986,0
261763282,261762096,0.24473245,3.9406794e-05,-4.0824633,5.777831,0.32050675,5.754853,0
261843130,261842085,0.246196,3.7166275e-05,-1.1241577,5.7314763,0.024498835,5.5967445,0
261964132,261962061,0.24822009,3.416793e-05,-2.4223254,5.4787555,0.11899823,5.3823533,0
262063050,262062043,0.24878947,3.2145857e-05,1.4051845,5.274884,0.04159214,5.2026124,0
262163098,262162035,0.24768536,3.057533e-05,0.55017096,5.152959,0.0065267375,5.0646977,0
262263663,262262008,0.24788731,2.9344406e-05,-1.8076422,4.9959664,0.0726713,4.92753,0
262363067,262361990,0.24687664,2.8379067e-05,0.92019856,4.8680716,0.019326964,4.803606,0
262463310,262462027,0.24701111,2.7516373e-05,-1.8280132,4.814139,0.077125415,4.759613,0
262542972,262541961,0.24828544,2.6810038e-05,1.2343512,4.9992623,0.03386328,4.942661,0
262663271,262661945,0.24842247,2.5627429e-05,-1.1986334,5.1587477,0.030944679,5.0736566,0
262763057,262761920,0.24790663,2.4553408e-05,1.3597131,5.1921015,0.03956479,5.120443,0
262863308,262861903,0.24866763,2.3284407e-05,-4.2843738,5.0522013,0.4036933,5.0800548,0
262963073,262961885,0.25224316,2.2023201e-05,-0.64089584,5.9316216,0.00769412,5.7953825,0
263063068,263061870,0.25180006,2.0836611e-05,3.3318553,5.910445,0.20869382,5.9465694,0
263163237,263161850,0.2527522,2.0166346e-05,-4.5730944,6.052984,0.3838913,6.111577,0
263243118,263241836,0.25177357,1.9819669e-05,1.4214543,6.296816,0.035653513,6.242249,0
263363143,263361816,0.2514678,1.9370638e-05,0.45454627,6.0140705,0.0038172025,5.937358,0
263462929,263461799,0.25165838,1.8930952e-05,-3.4321067,5.774224,0.22666553,5.777438,0
263563102,263561780,0.25250804,1.841139e-05,0.37676746,5.781385,0.002728176,5.7005196,0
263663070,263661799,0.254599,1.7872913e-05,-4.006293,5.730745,0.31119442,5.748158,0
263763154,263761747,0.2549688,1.7397077e-05,0.5132122,5.6392694,0.0051895366,5.566217,0
263862825,263861727,0.2553729,1.6954915e-05,-0.54567474,5.4122896,0.0061128563,5.3310413,0
263962802,263961710,0.2567786,1.6539414e-05,0.33262968,5.4801354,0.0022433044,5.4110403,0
264063254,264061693,0.25848183,1.6142569e-05,-2.841103,5.394054,0.16627088,5.3499827,0
264162812,264161675,0.25850576,1.5778936e-05,-1.9146004,5.278911,0.07715595,5.212833,0
264263021,264261673,0.25978056,1.5417396e-05,-2.3848243,5.164021,0.12237206,5.108372,0
264362682,264361654,0.25928375,1.5087419e-05,-0.8698285,5.2490816,0.016015535,5.173356,0
264462843,264461623,0.26089948,1.4784875e-05,-1.4060521,5.287837,0.04154151,5.214347,0
264562628,264561605,0.26237217,1.4489069e-05,-3.4608214,5.113268,0.26026595,5.0924964,0
264662884,264661588,0.26198477,1.420078e-05,1.9869287,5.1033297,0.085954465,5.1184587,0
264762667,264761570,0.26190653,1.3927104e-05,-2.036746,5.0476055,0.09131578,4.9901867,0
264842851,264841556,0.26211986,1.371093e-05,1.107178,4.905515,0.027765645,4.874446,0
264962923,264961534,0.26262027,1.3386104e-05,-1.6741499,4.6917224,0.066376425,4.631262,0
265062645,265061517,0.26372305,1.3119192e-05,0.5363171,4.623964,0.006911724,4.5795336,0
265162683,265161504,0.2627222,1.28694355e-05,0.87935305,4.75431,0.018071597,4.7111835,0
265262496,265261483,0.2639417,1.2623239e-05,-4.3481283,4.644067,0.4523387,4.70057,0
265362676,265361465,0.26566765,1.2397364e-05,-1.5825943,4.8883467,0.056929145,4.824528,0
265462491,265461447,0.26734462,1.2186415e-05,-4.3704896,4.8153725,0.44074538,4.8439713,0
265562731,265561430,0.26796883,1.1994669e-05,4.1197166,4.962979,0.3799704,5.1832776,0
265662641,265661412,0.26811838,1.1862281e-05,7.156772,5.041543,1.1288296,5.640853,0
265762607,265761395,0.26756608,1.1724761e-05,0.10179536,5.937714,0.00019390731,5.8714013,0
