timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
258842115,5.038623,3.3322265,1,0,1,0,1,0,0
258852082,4.9628906,3.3322265,1,0,1,0,1,0,0
259352091,5.043457,3.3338377,1,0,1,0,1,0,0
259852138,4.9773927,3.3322265,1,0,1,0,1,0,0
260352081,5.0466795,3.3338377,1,0,1,0,1,0,0
260852114,4.964502,3.3322265,1,0,1,0,1,0,0
261352121,5.0450683,3.3338377,1,0,1,0,1,0,0
261842110,5.043457,3.3338377,1,0,1,0,1,0,0
262352088,5.053125,3.3306153,1,0,1,0,1,0,0
262853026,5.057959,3.3370605,1,0,1,0,1,0,0
263352849,5.043457,3.3338377,1,0,1,0,1,0,0
263853103,5.0450683,3.3370605,1,0,1,0,1,0,0
264352769,5.0450683,3.3338377,1,0,1,0,1,0,0
264852669,5.038623,3.3322265,1,0,1,0,1,0,0
265342752,5.0466795,3.3338377,1,0,1,0,1,0,0
265852357,5.0466795,3.3322265,1,0,1,0,1,0,0
266352441,5.0595703,3.3354492,1,0,1,0,1,0,0
266852403,5.0354004,3.3338377,1,0,1,0,1,0,0
267352098,5.043457,3.3322265,1,0,1,0,1,0,0
267852151,5.0611815,3.3338377,1,0,1,0,1,0,0
268352110,5.043457,3.3338377,1,0,1,0,1,0,0
268842148,5.0466795,3.3354492,1,0,1,0,1,0,0
269352130,5.053125,3.3338377,1,0,1,0,1,0,0
269852082,5.014453,3.3290038,1,0,1,0,1,0,0
270352376,5.0370116,3.3370605,1,0,1,0,1,0,0
270852184,5.040234,3.3322265,1,0,1,0,1,0,0
271352084,5.0225096,3.3322265,1,0,1,0,1,0,0
271852088,5.040234,3.3322265,1,0,1,0,1,0,0
272342085,5.0466795,3.3338377,1,0,1,0,1,0,0
272852082,5.0273438,3.3354492,1,0,1,0,1,0,0
273352193,5.040234,3.3306153,1,0,1,0,1,0,0
273852080,5.043457,3.3338377,1,0,1,0,1,0,0
274352085,5.033789,3.3354492,1,0,1,0,1,0,0
274852087,5.041846,3.3338377,1,0,1,0,1,0,0
