timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
258732667,0.016400054,0.03402777,0.004974082,0
258932594,0.016400054,0.03402777,0.004974082,1
259132557,0.016400054,0.03402777,0.004974082,1
259332522,0.016400054,0.03402777,0.004974082,1
259532487,0.016400054,0.03402777,0.004974082,1
259732452,0.016400054,0.03402777,0.004974082,1
259932416,0.016400054,0.03402777,0.004974082,1
260132383,0.016400054,0.03402777,0.004974082,1
260332346,0.016400054,0.03402777,0.004974082,1
260532314,0.016400054,0.03402777,0.004974082,1
394534559,0.016400054,0.03402777,0.004974082,1
394734490,0.016400054,0.03402777,0.004974082,1
394934441,0.016400054,0.03402777,0.004974082,1
395134392,0.016400054,0.03402777,0.004974082,1
