timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
258841610,258841359,3932170,-0.048362877,0.3227384,-9.937374,43.506733,0,0,0,0
258842857,258842609,3932170,-0.05746084,0.23798366,-9.919657,43.506733,0,0,0,0
259843949,259843684,3932170,0.10821792,-0.23558944,-11.182359,43.604652,0,0,0,0
260845012,260844763,3932170,-3.1057587,6.936481,5.4123325,43.70257,0,0,0,0
261842332,261842085,3932170,4.0021477,6.732974,4.2693405,43.75153,0,0,0,0
262844645,262844402,3932170,1.1142615,-0.98258036,-8.236053,43.506733,0,0,0,0
263844481,263844230,3932170,11.697592,3.4931402,-0.96821517,43.75153,0,0,0,0
264845559,264845316,3932170,1.2100295,-12.320562,-8.651209,43.70257,0,0,0,0
265842888,265842631,3932170,-4.5571237,-6.847417,-7.0035186,43.408813,0,0,0,0
266843954,266843705,3932170,3.095703,-13.585179,13.519099,43.89841,0,0,0,0
267845049,267844795,3932170,0.20733786,-9.380961,-33.870293,43.55569,0,0,0,0
268842363,268842105,3932170,-10.289801,-18.893126,1.2660538,43.75153,0,0,0,0
269843425,269843180,3932170,-8.034462,-10.35205,-20.805134,43.75153,0,0,0,0
270844498,270844252,3932170,-5.5588574,-2.8907592,-14.652514,43.89841,0,0,0,0
271845572,271845326,3932170,-5.9663506,12.995727,-21.994095,43.55569,0,0,0,0
272842892,272842650,3932170,6.496427,-12.786474,0.64451915,43.70257,0,0,0,0
273843980,273843724,3932170,0.11204864,12.824781,-8.711063,43.75153,0,0,0,0
274845056,274844800,3932170,9.455181,1.4633361,-19.631975,43.70257,0,0,0,0
275842375,275842122,3932170,8.376833,2.4396915,-5.3649273,43.604652,0,0,0,0
276843447,276843196,3932170,-10.87207,-7.103118,-10.627383,43.75153,0,0,0,0
277844513,277844266,3932170,-4.1457996,-4.606444,12.010753,43.604652,0,0,0,0
278846828,278846587,3932170,-1.1209652,2.0020316,-5.386954,43.55569,0,0,0,0
279842900,279842659,3932170,-2.6748023,-8.627267,-14.449965,43.70257,0,0,0,0
280843980,280843729,3932170,6.779422,3.7593756,4.02178,43.506733,0,0,0,0
281846292,281846051,3932170,-1.5562311,-0.5688623,-13.627796,43.75153,0,0,0,0
282842368,282842123,3932170,-14.773182,-1.430775,-28.738562,43.310894,0,0,0,0
283843440,283843192,3932170,-7.562804,9.762118,-18.748993,43.55569,0,0,0,0
284844516,284844262,3932170,-2.5345018,-3.1316159,-0.5018247,43.55569,0,0,0,0
285845573,285845330,3932170,0.45346183,17.527473,-16.904501,43.75153,0,0,0,0
286842904,286842650,3932170,10.222283,-0.21787235,6.2191787,43.55569,0,0,0,0
287843973,287843717,3932170,1.4470556,-14.368562,9.511206,43.506733,0,0,0,0
288845042,288844785,3932170,-3.257072,15.554171,-21.825064,43.55569,0,0,0,0
289842353,289842104,3932170,10.238564,-10.016862,-26.55888,43.310894,0,0,0,0
