timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
258820668,258800328,3997730,64.55715,40.7,100552.0,1.1947241
258870892,258853236,3997730,64.913864,40.7,100547.75,1.1946737
259031469,259013855,3997730,64.74476,40.7,100549.75,1.1946974
259252604,259229955,3997730,64.82931,40.7,100548.75,1.1946855
259413433,259390671,3997730,64.74476,40.7,100549.75,1.1946974
259624371,259604245,3997730,64.78703,40.7,100549.25,1.1946914
259835476,259817805,3997730,64.93236,40.7,100547.5,1.1946707
259996187,259978540,3997730,64.89008,40.7,100548.0,1.1946765
260217181,260194537,3997730,64.59943,40.7,100551.49,1.1947181
260428169,260408041,3997730,64.61793,40.71,100551.25,1.1947151
260639152,260621524,3997730,64.61793,40.71,100551.25,1.1947151
260799825,260782182,3997730,64.808174,40.71,100549.0,1.1946884
261020846,260998176,3997730,64.89008,40.71,100548.0,1.1946765
261231960,261211700,3997730,64.93236,40.71,100547.5,1.1946707
261393763,261372516,3997730,65.143745,40.71,100544.99,1.1946409
261633893,261613631,3997730,65.038055,40.71,100546.25,1.1946558
261844909,261827148,3997730,65.37363,40.71,100542.25,1.1946082
262005451,261987826,3997730,65.143745,40.71,100544.99,1.1946409
262226420,262203786,3997730,65.29172,40.71,100543.24,1.19462
262437560,262417260,3997730,65.39477,40.71,100542.0,1.1946052
262648329,262630684,3997730,65.47668,40.719997,100541.0,1.1945934
262809165,262791533,3997730,65.038055,40.719997,100546.25,1.1946558
263030179,263007525,3997730,65.10147,40.719997,100545.49,1.1946467
263241230,263221049,3997730,65.2283,40.719997,100543.99,1.194629
263452272,263434519,3997730,65.2283,40.719997,100543.99,1.194629
263632968,263610261,3997730,65.18603,40.719997,100544.49,1.1946349
263843845,263823704,3997730,65.37363,40.719997,100542.25,1.1946082
264004629,263984446,3997730,65.688065,40.719997,100538.5,1.1945637
264215512,264197880,3997730,65.18603,40.719997,100544.49,1.1946349
264436591,264413887,3997730,65.246796,40.719997,100543.74,1.194626
264647612,264627453,3997730,65.35249,40.719997,100542.5,1.1946112
